name,position,company,description,linkedin_url
Marc Cadieux,,,"Chief Financial Officer at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/marccadieux/
"Lauren Malensek, SHRM-SCP, GPHR, SPHR",Chief Human Resource Officer,"Luther Manor, a Life Plan Community","Chief Human Resource Officer at Luther Manor, A Life Plan Community",https://www.linkedin.com/in/laurenmalensekgphrsphr/
Anthony Watkins,Executive Vice President & Chief Financial Officer,"Versiti, Inc.",Executive Vice President & Chief Financial Officer at Versiti,https://www.linkedin.com/in/awatkins2/
Meg Brzyski Nelson,Chief Development Officer and President of the Foundation,"Childrens Hospital of Wisconsin""","Chief Development Officer, Foundation President",https://www.linkedin.com/in/meg-brzyski-nelson-9100891/
David Dobson,"Chief Marketing Officer, Healthcare Equipment Finance",GE Capital,Chief Marketing Officer at GE Healthcare Equipment Finance,https://www.linkedin.com/in/david-dobson-15a0961/
Mike Lappin,,,"Chief Administrative Officer at Aurora Health Care, Inc.",https://www.linkedin.com/in/mike-lappin-37875b13/
"David A. Olson, FACHE",,,Chief Strategy Officer at Froedtert Health,https://www.linkedin.com/in/david-a-olson-fache-758b61b/
Ken Price,,,Chief Operating Officer at ProHealth Care,https://www.linkedin.com/in/ken-price-2904a48/
Curt Gielow,,,Campus Chief Executive at Concordia University - Ann Arbor,https://www.linkedin.com/in/curt-gielow-0a226aa/
Kenneth Munson,,,"Chief Executive Officer at COMMUNITY CARE, INC.",https://www.linkedin.com/in/kmunson/
Dawn Kussow,,,"SVP, Chief Accounting Officer at Brookdale Senior Living Inc.",https://www.linkedin.com/in/dawn-kussow-39089019/
J\xc3\xb6rg Debatin,,,"Vice President, chief Technology and Medical Officer at GE Healthcare",https://www.linkedin.com/in/j%C3%B6rg-debatin-558891119/
Michael Libby,Chief Operating Officer,MARQUARDT VILLAGE,Chief Operating Officer at Marquardt Village.,https://www.linkedin.com/in/michael-libby-030a9642/
Edward Barthell,Chief Executive Officer,"EmOpti, Inc.","Chief Executive Officer, EmOpti, Inc.",https://www.linkedin.com/in/edward-barthell-75817a/
Cecilia Taylor,,,Chief Financial Officer and Senior Vice President at Cancer Treatment Centers of America at Midwestern,https://www.linkedin.com/in/cecilia-taylor-32736b47/
Dennis Pollard,"Executive Vice President, Chief Operating Officer",Froedtert Health,Executive Vice President and Chief Operating Officer at Froedtert Health,https://www.linkedin.com/in/dennis-pollard-48b4751/
Ilke Panzer,,,Executive Vice President and Chief Innovation Officer at Versiti Inc.,https://www.linkedin.com/in/ilke-panzer-0b45681/
"Rhonda Kazik, DNP, RN","Vice President, Patient Care Services & Chief Nursing Officer",Ascension,"Vice President, Patient Care Services & Chief Nursing Officer",https://www.linkedin.com/in/rhonda-kazik-dnp-rn-a1b78513/
Amy Marquardt,"Senior Vice President, Chief Legal Officer and General Counsel",Froedtert Health,"Senior V.P., Chief Legal Officer and General Counsel",https://www.linkedin.com/in/amy-marquardt-41b6b813/
"John Butler, MD, MMM",Chief Medical Officer,Froedtert Health,Chief Medical Officer at Froedtert & Medical College of Wisconsin,https://www.linkedin.com/in/john-butler-md-mmm-37570019/
Michael Finnegan,Chief Sales and Strategy Officer,"Consumer Health Connections, LLC","Chief Strategy and Sales Officer at Consumer Health Connections, LLC",https://www.linkedin.com/in/michaelefinnegan/
Terry Kabitzke-Groth,Chief Nursing Officer,Aurora Health Care Grafton Medical Center,Chief Nursing Officer Aurora Medical Center Grafton and Washington County. VP Nursing Greater Milw. North/Sheboygan,https://www.linkedin.com/in/terry-kabitzke-groth-6b025182/
Timothy Caprez,,,Vice President and Chief Compliance Counsel at Exact Sciences,https://www.linkedin.com/in/timothy-caprez-72317b82/
Geri Krupp-Gordon,Chief Operating Officer,Capri Communities LLC,Chief Operating Officer at Capri Senior Communities,https://www.linkedin.com/in/geri-krupp-gordon-20914571/
Justin Munzel,,,"Chief Financial Officer at St. Camillus Health System, Inc.",https://www.linkedin.com/in/justin-munzel-9ab57539/
Bob Kebbekus,,,President and Chief Operating Officer at Integrated Medical Partners,https://www.linkedin.com/in/bob-kebbekus-b557b05/
Fran Socash,,,Chief Operating Officer at QuadMed LLC,https://www.linkedin.com/in/fran-socash-0ab2777/
Carl Weigle,,,"Chief Medical Information Officer at Childrens Hospital and Health System""",https://www.linkedin.com/in/carl-weigle-10a1817/
Jamie McCoy,,,"Chief Marketing Officer, Molecular Imaging and Computed Tomography at GE Healthcare",https://www.linkedin.com/in/jamie-mccoy-9210122/
Steven Kulick,,,Chief Medical Officer at ProHealth Care,https://www.linkedin.com/in/steven-kulick-26871172/
Blayne Seidl,"Chief Sales Officer, CSO",Sentient Suites,"Chief Sales Officer, CSO",https://www.linkedin.com/in/blayne-seidl-41410414/
David Hannes,,,"Chief Operating Officer at Imbio, LLC",https://www.linkedin.com/in/davidhannes/
Jill Tapper,Chief Operating Officer,Envision Genomics,Chief Operating Officer & Cofounder at Envision Genomics,https://www.linkedin.com/in/jill-tapper-6a528815/
John Schneider,Chief Medical Officer,Milwaukee County Behavioral Health Division,Chief Medical Officer - Milwaukee County Behavioral Health Division,https://www.linkedin.com/in/john-schneider-a5539a45/
Tim Detary,Principal/Chief Administrative Officer,"Fortis Management Group, LLC",Executive V.P./Chief Administrative Officer,https://www.linkedin.com/in/tim-detary-74a250a/
Jeff Kubisch,Chief Operating Officer - MCP,Medical College of Wisconsin,Chief Operating Officer - MCP at Medical College of Wisconsin,https://www.linkedin.com/in/jeff-kubisch-5a7b183/
Chris Olson,,,Chief Nurse Administrator at Mount Mary University,https://www.linkedin.com/in/chris-olson-5672a187/
Rob Sanders,Chief Administrative Officer,"Childrens Hospital of Wisconsin""","Chief Administrative Officer - Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/rob-sanders-54928621/
Mary Gavinski,Chief Medical Officer,Community Care Inc,Chief Medical Officer Community Care,https://www.linkedin.com/in/mary-gavinski-a3968661/
Sharon Quinlan,Vice President/Chief Nursing Officer Ambulatory,Aurora Health Care,Vice President/Chief Nursing Officer Ambulatory,https://www.linkedin.com/in/sharon-quinlan-2738b643/
Lori Lim\xc3\xb3n,"Senior Administrator to Chief Marketing & Commercial Officer, Imaging",GE Healthcare,"Senior Administrator to Chief Marketing & Commercial Officer, Imaging",https://www.linkedin.com/in/lori-lim%C3%B3n-41a94913/
"Isabelle Garibaldi MSN, RN, NEA-BC, CENP",,,"Vice President, Patient Care Services and Chief Nursing Officer at Watertown Regional Medical Center",https://www.linkedin.com/in/isabelle-garibaldi-msn-rn-nea-bc-cenp-97864214/
Bradley Taylor,Chief Research Informatics Officer,Medical College of Wisconsin,Chief Research Informatics Officer,https://www.linkedin.com/in/bradleywtaylor/
Donna Jamieson,,,Chief Nursing Officer at Aurora Medical Center Kenosha,https://www.linkedin.com/in/donna-jamieson-a3a98712/
Maureen McNally,,,"Chief of Staff, Office of the President & CEO at Froedtert Health",https://www.linkedin.com/in/maureen-mcnally-0628828/
Steve Kenaston,,,Chief Financial Officer at Infinity Healthcare,https://www.linkedin.com/in/steve-kenaston-8a42687/
Nahi Halmann,,,"Chief Engineer, Point of Care Ultrasound at GE Healthcare",https://www.linkedin.com/in/nahi-halmann-4a095754/
Jerry Amato,President and Chief Operating Officer,Lakeview Specialty Hospital & Reha,President and Chief Operating Officer,https://www.linkedin.com/in/jerry-amato-5731b913/
"Ralph B. Beck, LUTCF RHU ChHC","Chief Operating Officer, UnitedHealthcare Community Plan, Wisconsin",UnitedHealth Group,Chief Operating Officer,https://www.linkedin.com/in/ralph-b-beck-lutcf-rhu-chhc-47938519/
Barbara Horner-Ibler,,,Chief Medical Officer at Bread of Healing Clinic,https://www.linkedin.com/in/barbara-horner-ibler-69636b13/
Kathy Bernaden,,,Chief Human Resources & Compliance Officer at Three Pillars Senior Living Communities,https://www.linkedin.com/in/kathy-bernaden-05a33b13/
Jeff Squire,,,Chief Corporate Affairs Officer at ProHealth Care,https://www.linkedin.com/in/jeffsquire/
David Keating,Chief Legal Officer,"Fortis Management Group, LLC","Chief Legal Officer, Fortis Management Group, LLC",https://www.linkedin.com/in/david-keating-1a64a27/
Betsy Van Heesch,,,Chief Operations Officer at My Choice Family Care Inc.,https://www.linkedin.com/in/betsy-van-heesch-42098175/
John Hackett,,,"Chief Executive Officer at Balance, Inc.",https://www.linkedin.com/in/john-hackett-86843246/
Melissa Jordan,,,Chief Nursing Officer at Aurora Health Care,https://www.linkedin.com/in/melissa-jordan-92a23329/
Jon Myhre,,,Chief Operating Officer at Healthfuse,https://www.linkedin.com/in/jonwmyhre/
Barbara Gesme,,,VP Patient Care Services/Chief Nurse Executive at Bon Secours St. Francis Medical Center,https://www.linkedin.com/in/barbara-gesme-77780925/
Lance Morgan,,,"Chief Operating Officer at Neurotech, LLC",https://www.linkedin.com/in/lance-morgan-b4b01538/
Jonathan Saigh,,,Chief of Staff/President at Advanced Care Specialists,https://www.linkedin.com/in/jonathan-saigh-67644728/
Jodi Czernejewski,,,Chief Operating Officer/ Managing Partner at IN Charge Medical Professionals,https://www.linkedin.com/in/jodi-czernejewski-9ba04521/
Sharon Behrens,Chief Clinical Officer,The Rehabilitation Hospital of Wisconsin,Chief Clinical Officer Rehabilitation Hospital of Wisconsin,https://www.linkedin.com/in/sharon-behrens-0642916b/
Connie Ziccarelli,,,"Co-Founder, Principal & Chief Operation Officer at Rehab Management Solutions",https://www.linkedin.com/in/connie-ziccarelli-40287256/
"Jawwad A. Khan, MD",Chief Of Staff,Ascension Health / Wheaton - Franklin Hospital,"Emergency Medicine Physician, Chief of Staff, Vice Chair, Medical Director.",https://www.linkedin.com/in/jawwad-a-khan-md-85963760/
Sherry Cira,Chief Quality Officer,Marquardt Management Services,Chief Quality Officer,https://www.linkedin.com/in/sherry-cira-a6394a54/
Cindy Lewis,Editor in Chief,Society for Vascular Nursing,Perioperative Clinical Nurse Specialist & Editor in Chief,https://www.linkedin.com/in/cindy-lewis-97787348/
Shannon Dreier,,,Chief Administrator at Medical College of Wisconsin,https://www.linkedin.com/in/shannon-dreier-96a42846/
Birr Joan,,,Chief Financial Officer at Lutheran Homes of Oconomowoc,https://www.linkedin.com/in/birr-joan-01792411/
Frank LaVora,,,Chief Medical Officer at Aurora Health Care,https://www.linkedin.com/in/frank-lavora-186025b/
Linda Oczus,Chief Nursing Officer,Milwaukee County Behavioral Health Division,Chief Nursing Officer- Milwaukee County Behavioral Health Division,https://www.linkedin.com/in/linda-oczus-99a23998/
Evonne Fillinger,,,Chief Clinical Advisor at Fillinger Clinical Operations Advisory Group,https://www.linkedin.com/in/evonne-fillinger-72997978/
Ed Kohl,,,"Chief Program Officer at Community Care, Inc.",https://www.linkedin.com/in/ed-kohl-11566062/
Dave Morrison,Chief Operation Officer,"MJ Care, Inc.","Chief Operation Officer at MJ Care, Inc.",https://www.linkedin.com/in/morrisondavidk/
Randall M. Crosby,Chief Administrative Officer,Jewish Senior Living Group,"Chief Administrative Officer, Jewish Senior Living Group",https://www.linkedin.com/in/randall-m-crosby-a1982633/
Cheryl Brosig Soto,Section Chief of Psychology,Medical College of Wisconsin,"Section Chief of Psychology, Department of Pediatrics, Medical College of Wisconsin",https://www.linkedin.com/in/cheryl-brosig-soto-58618520/
Kevin Reindl,,,Chief Administrator at Cudahy Dental Associates,https://www.linkedin.com/in/kevin-reindl-675a10/
Jenn Eckert,,,Executive Assistant to Chief Medical Officer at Milwaukee County Behavorial Health Division,https://www.linkedin.com/in/jenn-eckert-2b2519131/
"Patrick Matola, MS, DABR",,,"Chief Medical Physicist at Aurora St. Lukes Medical Center""",https://www.linkedin.com/in/patrick-matola-ms-dabr-88411a7a/
Tayna Didier,,,Chief of Nursing at U.S. Department of Veterans Affairs,https://www.linkedin.com/in/tayna-didier-7299b824/
Nancy Korom,,,"Chief Nursing Officer at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/nancy-korom-88044113/
John Morrell,"Chief Psychologist, Region 7",Wisconsin Department of Corrections,"Chief Psychologist, Region 7 - Wisconsin Department of Corrections",https://www.linkedin.com/in/john-morrell-6a9198b/
"Jason Daniel, MBA",Chief Resource Officer & Vice President,Ascension Health,Chief Resource Officer and Vice President,https://www.linkedin.com/in/jjasondaniel/
"Melissa Fularczyk, CPA, MBA",Chief Financial Officer,"Integrated Medical Partners (Radiology, Revenue Cycle Management, RCM, Analytics)",Chief Financial Officer at Integrated Medical Partners,https://www.linkedin.com/in/melissafularczyk/
Nick Webber,Chief of Orthopaedic Surgery,Aurora Health Care,"Orthopaedic Surgeon, Musculoskeletal Oncology and Adult Reconstruction, chief of orthopedics surgery at Aurora St. Lukes Medical Center",https://www.linkedin.com/in/nick-webber-222b9a39/
Ralph Odya,,,CEO and Chief Medical Consultant at FHcC,https://www.linkedin.com/in/ralph-odya-832b618/
Tatek Takele,"Sevice Chief,Internal Medicine",Aurora West Allis Medical Center,"Service Chief,Internal Medicine at Aurora West Allis Medical Center",https://www.linkedin.com/in/tatek-takele-0b13ab3/
Wayne Jurecki,,,"Vice President, Chief Operating Officer at Bell Ambulance, Inc.",https://www.linkedin.com/in/wayne-jurecki-29a36b74/
"Sunday Kerobo, RN, BSc, MBA, (Ph.D -Student - Walden Uni)",Chief Executive Officer,Comfort Home Health Services,Chief Executive Officer/RN,https://www.linkedin.com/in/sunday-kerobo-rn-bsc-mba-ph-d-student-walden-uni-8665664a/
Jeff Euclide,,,Chief Nurse Executive at Aurora Health Care,https://www.linkedin.com/in/jeff-euclide-61120411/
Gary Strong,,,Chief Engineer at GE Healthcare,https://www.linkedin.com/in/gary-strong-995a9372/
Bill Howell,Chief Information Officer and Vice President of Information Services,ACL Laboratories,VP Project Delivery & Information Services and CIO at ACL Laboratories,https://www.linkedin.com/in/bill-howell-85a823b1/
Mike Buckholdt,Chief Operations Officer/President,Kinex Medical,President at Kinex Medical,https://www.linkedin.com/in/mike-buckholdt-863b639/
Amy Rislov,Chief Human Resources Officer,Aurora Health Care,Senior Human Resources Executive,https://www.linkedin.com/in/amyrislov/
T. Clark Gamblin,Chief of Surgical Oncology,Froedtert Hospital,Professor of Surgery at Medical College of Wisconsin,https://www.linkedin.com/in/t-clark-gamblin-abb96b60/
Don Busakowski,Chief Financial Officer,Milwaukee Center For Independence,CFO - Leader - Mentor,https://www.linkedin.com/in/donbusakowski/
Teri Lux,"President, Community Memorial Hospital, Chief Operating Officer Community Hospital Division",Froedtert Health,"President, Community Memorial Hospital, COO Community Hospital Division Froedtert Health",https://www.linkedin.com/in/teri-lux-b19a3695/
Julie Jolitz,Chief Clinical Officer,"Luther Manor, a Life Plan Community",Licensed Nursing Home Administrator.,https://www.linkedin.com/in/julie-jolitz-01b332b0/
Brent Brazell,"Vice President, Chief Learning Officer",Froedtert Health,Training and Organizational Development,https://www.linkedin.com/in/brent-brazell-a460b416/
Kimberly Stapelfeldt,Chief Clinical Services Officer,Aurora Health Care,Senior Administrator at Aurora Health Care Medical Group,https://www.linkedin.com/in/kimberly-stapelfeldt-91702a13/
Laura Hanoski,Chief Executive,Heroes for Healthcare,Owner at Premier Physician Services LLC,https://www.linkedin.com/in/laura-hanoski-75645089/
David Chaudier,Chief Executive Officer / Hospital Administrator,LifeCare Hospitals,CEO / Hospital Administrator at LifeCare Hospitals of Wisconsin,https://www.linkedin.com/in/david-chaudier-62411742/
Gary Balcerzak,Chief Clinical Services Officer,Aurora Health Care,"Vice President, Operations at Aurora Health Care",https://www.linkedin.com/in/gary-balcerzak-5062798/
Holly Schmidtke,Vice President /Chief Nurse Executive,Aurora Health Care,"Vice President Operations- Aurora St. Lukes Medical Center""",https://www.linkedin.com/in/holly-schmidtke-07b87ab/
Carolyn MacIver,Chief Executive Officer,NuMedika,"Health Care Entrepreneur, Emerging Markets",https://www.linkedin.com/in/carolyn-maciver-72a9bb12/
Natalya Clayman,Chief Nursing Officer,Eastcastle Place,Healthcare Executive,https://www.linkedin.com/in/natalya-clayman-1bb998111/
Leslie Kolowith,Chief Administrative Officer,"Access HealthNet, LLC",Co Founder at Access HealthNet,https://www.linkedin.com/in/leslie-kolowith-3385133b/
"Gregory Buran, MD",Chief Medical Officer,Network Health WI,CMO at Network Health,https://www.linkedin.com/in/gregory-buran-md-26363511/
"Len Scarpinato,DO,MS,SFHM,FACPE",Interim Market Chief Medical Officer,ChenMed,"Director,Hospitalist Center of Expertise",https://www.linkedin.com/in/len-scarpinato-do-ms-sfhm-facpe-88266615/
Kyle Fromm JD MHA CHC,Chief Compliance and Privacy Officer,"Advanced Pain Management, LLC","Experienced professional in Healthcare Compliance, Quality, and Risk.",https://www.linkedin.com/in/kyle-fromm-jd-mha-chc-11761011/
Thomas Sobocinski,President/Chief Executive Officer/Owner,"Cardinal Points Group, Incorporated","Health Care Industry Entrepreneur, Executive, Consultant and Trustee.",https://www.linkedin.com/in/thomas-sobocinski-7bb3b71b/
Fred Freitag,Editor in Chief,Journal of Migraine Management,Associate Professor at Medical College of Wisconsin,https://www.linkedin.com/in/fredfreitag/
Emily Penner,Chief Marketing Officer,Patient Care: Health Care Advocacy,"Vice President of Account Management, DirectPath",https://www.linkedin.com/in/emilypenner/
"Alicia Modjeska RN, BSN, MA",Chief Operations Officer,Milwaukee County Behavorial Health Division,Healthcare Consultant,https://www.linkedin.com/in/alicia-modjeska-rn-bsn-ma-25944422/
Brian Weyker,Fire Chief,FREDONIA VOLUNTEER FIRE DEPARTMENT INC,"Manager - Facilities and Maintenance with Medxcel Facilities Management at Columbia St. Marys""",https://www.linkedin.com/in/brian-weyker-780a6a59/
Debi Burzynski,Executive Assistant to the Chief Medical Officer,Wheaton Franciscan Healthcare,Executive Assistant to the COO and CCO at Ascension Wisconsin,https://www.linkedin.com/in/debi-burzynski-61997539/
Michael Maier,Chief Financial Officer,"Rainbow Hospice Care, Inc.",Hospice Finance Executive,https://www.linkedin.com/in/michael-maier-80194a16/
Jamie Avdeev,"Enterprise Change Project Manager, Office of the Enterprise Chief Medical Officer",Froedtert Health,Enterprise Change Project Manager at Froedtert Health,https://www.linkedin.com/in/jamie-avdeev-83652446/
Robert Stone,Chief Radiology Resident,Barnes-Jewish Hospital,Radiology Resident at Barnes-Jewish Hospital,https://www.linkedin.com/in/robert-stone-2695ba45/
M. Williams,Administrative Associate to the Chief Scientific Director/Division Chief,Medical College of Wisconsin,Administrative Associate at Medical College of Wisconsin/CIBMTR,https://www.linkedin.com/in/m-williams-a5a47a71/
Carlos Figueroa Castro,"Chief, Infection Prevention",Froedtert and St. Joseph Hospital,"Assistant Professor, Infectious Diseases at Medical College of Wisconsin",https://www.linkedin.com/in/carlosfigueroacastro/
"Guillermo Martinez-Torres, MD, FCAP, FASCP","Chief, Pathology and Laboratory Medicine",Orthopaedic Hospital of Wisconsin,"President, North Shore Pathologists, SC",https://www.linkedin.com/in/guillermo-martinez-torres-md-fcap-fascp-65a99b11/
Victor Stanford,Chief Executive Officer,CiceroLogic Solutions,Senior Living Specialist at Omnicare a CVS Company,https://www.linkedin.com/in/victor-stanford-0a49b827/
Dori Ann Bischmann,President and Chief Psychologist,Aging & Mental Health Associatiates,Owner/lead Psychologist at Aging & Mental Health Associates,https://www.linkedin.com/in/dori-ann-bischmann-ab54933a/
Umar Farooq,Vice President - MHS Health,Centene Corporation,"Vice President, Centene Corporation / MHS Health",https://www.linkedin.com/in/umar-farooq-69ab618/
"Catherine (Cathy) Ptak, MS RHIA",,,"Vice President, Revenue Cycle, Coding & Health Information Services at Aurora Health Care",https://www.linkedin.com/in/catherine-cathy-ptak-ms-rhia-60bb2193/
Kelly Rakowski,,,"Vice President, Advisory Services at Premier Inc.",https://www.linkedin.com/in/kelly-rakowski-4460a64/
David Hammonds,,,Senior Vice President at Brookdale Senior Living,https://www.linkedin.com/in/david-hammonds-142276b2/
Lisa Jentsch,,,"Vice President at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/lisa-jentsch-620533b0/
Naomi Dolohanty,,,"Senior Vice President, Talent Acquisition at Aurora Health Care",https://www.linkedin.com/in/naomi-dolohanty-9b5b587/
Thomas Ewing,,,Senior Vice President - Controller at Aurora Health Care,https://www.linkedin.com/in/thomas-ewing/
Jim Simaras,,,"Vice President of Finance at Childrens Hospital of Wisconsin""",https://www.linkedin.com/in/jim-simaras-01781097/
"Amin Kassam, MD","Vice President of Neurosciences System Clinical Program and Chair, Department of Neurosurgery",Aurora Health Care,"Vice President, Aurora Neurosciences, Chairman, Department of Neurological Surgery",https://www.linkedin.com/in/amin-kassam-md-a5198219/
Russ Hinz,,,Vice President Health Informatics at Aurora Health Care,https://www.linkedin.com/in/russhinz/
Carrie Donovan,,,"Senior Vice President, Revenue Cycle Operations at Aurora Health Care",https://www.linkedin.com/in/carrie-donovan-58616325/
Vivian King,"Vice President, Community Relations",Aurora Health Care,"Vice President, Community Relations",https://www.linkedin.com/in/vivian-king-2999514/
Bill Bettermann,,,Senior Vice President Strategic Operations at Aurora Health Care,https://www.linkedin.com/in/bill-bettermann-27a29736/
"Eric J. Ford, MPA, MHA",Regional Vice President Of Operations,"Advanced Pain Management, LLC",Regional Vice President Operations at Advanced Pain Management,https://www.linkedin.com/in/eric-j-ford-mpa-mha-4906033/
Patti Imberger,,,"Vice President, Practice Informatics Medical Group at Aurora Health Care",https://www.linkedin.com/in/patti-imberger-423b65b5/
Andr\xc3\xa9s Elejalde,Vice President - Strategy & Business Operations,"Luma Healthcare, Inc.",Vice President - Strategy & Business Operations,https://www.linkedin.com/in/andreselejalde/
Cindy Bacskai,Vice President - HR Business Partner - Greater Milwaukee South,Aurora Health Care,Vice President - HR Business Partner at Aurora Health Care - Greater Milw South,https://www.linkedin.com/in/cindy-bacskai-88997915/
Rob Reilly,,,Vice President & GM- Services at GE Healthcare,https://www.linkedin.com/in/rob-reilly-14b24529/
Jon W. Hardesty,,,"Vice President, Human Resources at Aspirus",https://www.linkedin.com/in/jon-w-hardesty-a21438a/
Bruce Weiss MD MPH,,,"Vice President, Health Care Strategy at UnitedHealthcare",https://www.linkedin.com/in/bruce-weiss-md-mph-5970462/
Sara Jilek,Area Vice President,"Healogics, Inc.",Operations Management Expert- Senior Level Business Executive - Corporate Trainer- Business Development Specialist,https://www.linkedin.com/in/sarajilek/
Lynn Bender,Vice President Marketing,Vave Health,Vice President Marketing at Vave Health | Organizational Development | Customer Advocate,https://www.linkedin.com/in/lynn-bender/
Gregory M. W.,Senior Vice President Strategy Business Development,Medical College of Wisconsin,Senior Vice President,https://www.linkedin.com/in/gregory-m-w-245394/
Sara Herbert,Area Vice President Of Sales,OptumRx,Vice President of Sales,https://www.linkedin.com/in/sara-herbert-3b4ab02a/
Chris Fitzpatrick,,,"Vice President, Product & Technology at Access HealthNet, LLC",https://www.linkedin.com/in/fitzpatrickcm/
Troy Dennhof,,,"Senior Vice President, Human Resources at Aurora Health Care",https://www.linkedin.com/in/troy-dennhof-4428843/
