name,position,company,description,linkedin_url
"Ken Rivers, ScB, MS, FACHE",,,Chief Operating Officer at Kaiser Foundation Hospitals,https://www.linkedin.com/in/ken-rivers-scb-ms-fache-4712308
Murtaza Sanwari,Chief Operating Officer,Kaiser Permanente - Antelope Valley and Panorama City Medical Centers,Chief Operating Officer,https://www.linkedin.com/in/murtaza-sanwari-5816b43
Lisa Dawe,,,Chief Operating Officer at Western Dental,https://www.linkedin.com/in/lisa-dawe-b77a1b2
Annie Russell,,,Chief Operating Officer at Southern California Permanente Medical Group,https://www.linkedin.com/in/annie-russell-9a33885
Trevor Wright,,,Chief Operating Officer at Loma Linda University Health Hospitals,https://www.linkedin.com/in/trevor-wright-608a0715
David L. Morgan II,Chief Executive Officer,Vantage Point Holdings,Chief Executive Officer,https://www.linkedin.com/in/david-l-morgan-ii-45165553
"Sue Melvin, DO, CPE, FAAFP",,,Chief Medical Officer at Long Beach Memorial Medical Center,https://www.linkedin.com/in/sue-melvin-do-cpe-faafp-b1208b12
Mitch Thomas,,,"Chief Financial Officer at Martin Luther King, Jr. Community Hospital",https://www.linkedin.com/in/mitch-thomas-7660a0a
Anish Mahajan,Chief Medical Officer,Harbor-UCLA Medical Center,"Chief Medical Officer at Harbor-UCLA Medical Center; Associate Dean, David Geffen School of Medicine at UCLA",https://www.linkedin.com/in/anish-mahajan-492aa79
Paul Craig,,,"Chief Administrative Officer, Keck Medicine at University of Southern California",https://www.linkedin.com/in/paul-craig-2795867a
Kelly Linden,,,Chief Executive at Providence Saint Joseph Medical Center,https://www.linkedin.com/in/kelly-linden-07450441
Lannie Tonnu,,,Chief Financial Officer at Orthopaedic Institute for Children (OIC),https://www.linkedin.com/in/lannie-tonnu-75a888
Ashley Miyasaki,,,Chief of Staff at MedRepublic,https://www.linkedin.com/in/ashleymiyasaki
Karen DuPont,Chief HR Officer,Casa Colina,"Retired, formerly Chief HR Officer at Casa Colina",https://www.linkedin.com/in/karen-dupont-73a34714
Daniel Brazell,,,Chief Executive Officer at La Peer Health Systems,https://www.linkedin.com/in/daniel-brazell-b024777
Elizabeth Russell,Chief of Payment Model Transformation,agilon health,Chief of Payment Model Transformation Officer at agilon Health,https://www.linkedin.com/in/elizabeth-russell-60b9666
Gary Russell,,,Chief Information Officer at Methodist Hospital of Southern California,https://www.linkedin.com/in/garyrussell
Jesse Mock,Vice President & Chief Administrative Officer,"EPIC Management, LP","Chief Administrative Officer at EPIC Management, LP",https://www.linkedin.com/in/jesse-mock-811771a9
Matt McElrath,Chief HR Officer,Keck Medicine of USC,Chief HR Officer at Keck Medical Ctr of USC,https://www.linkedin.com/in/matt-mcelrath-59a5a334
Mark Meyers,,,"President and Chief Administrative Officer at Cha Healthsystems, Inc",https://www.linkedin.com/in/mark-meyers-493b1b64
Jason Kell,"Chief Financial Officer, Providence Health Network",Providence Health & Services,Chief Financial Officer at Providence Health Network,https://www.linkedin.com/in/jason-kell-4b23561
Rick Liu,,,Chief Analytics Officer at agilon health,https://www.linkedin.com/in/warrickliu
Jon Giese,Vice President and Chief Financial Officer (CFO),Simi Valley Hospital,Chief Financial Officer \xe2\x9c\xa6 CFO & Hospital Executive \xe2\x9c\xa6 Delivering a High Standard of Care,https://www.linkedin.com/in/jonathangiese
Dustin Fennell,,,"Chief Information Officer at EPIC Management, LP",https://www.linkedin.com/in/dustintfennell
Anita Chou,Chief Financial Officer,St. Vincent Medical Center,"Chief Financial Officer, St. Vincent Medical Center",https://www.linkedin.com/in/anita-chou-352a066
Nicholas Merkin,Chief Executive Officer,Compliagent,"Chief Executive Officer, Compliagent; Adjunct Instructor, Univ. of Southern California - Price School of Public Policy",https://www.linkedin.com/in/nicholasmerkin
Vince Jensen,,,Chief Administrative Officer at City of Hope,https://www.linkedin.com/in/vince-jensen-9479764
"Catherine MacLean, MD PhD",,,Chief Value Medical Officer at Hospital for Special Surgery,https://www.linkedin.com/in/catherine-maclean-md-phd-38627743
Smitha Ravipudi,"Chief Operating Officer, USC Care & Ambulatory Care Services",Keck Medicine of USC,"Chief Operating Officer, USC Care & Ambulatory Care Services",https://www.linkedin.com/in/smitha-ravipudi-84958770
Tony Davis,Chief Financial Officer - UCLA Hospital System,UCLA Health System,UCLA Hospital System - Chief Financial Officer,https://www.linkedin.com/in/tony-davis-00505241
Karen Grimley,Chief Nurse Executive UCLA Health and Assistant Dean UCLA School of Nursing,UCLA Health,Chief Nurse Executive at UCLA Health and Assistant Dean UCLA School of Nursing,https://www.linkedin.com/in/karen-grimley-0829976
Steve Jaben,,,Chief Operating Officer of Goofing Off at Retired,https://www.linkedin.com/in/stevejaben
Nancy Jensen,,,Chief Communications & Marketing Officer at UCLA Health & David Geffen School of Medicine at UCLA,https://www.linkedin.com/in/nancy-jensen-bba62219
Bradley Cornish,,,Chief Radiologic Technologist at Menifee Valley Medical Center,https://www.linkedin.com/in/bradleycornish
Jeffrey Butler,,,"Chief Administrative Officer, Faculty Practice Group (FPG) at UCLA Health",https://www.linkedin.com/in/jeffreybutler1
Karen Brandt,"Vice President Clinical Services, Chief Nursing Officer",Glendale Adventist Medical Center,"Vice President Clinical Services, Chief Nursing Officer",https://www.linkedin.com/in/karen-brandt-1a06b245
"Natalie Abadjian, MHA, PMP",Special Projects Manager to the Chief Medical Officer,L.A. Care Health Plan,Special Projects Manager to the Chief Medical Officer,https://www.linkedin.com/in/natalie-abadjian-mha-pmp-15758556
Philippe Friedlich,"Chief, Division of Neonatology & Director, Fetal and Neonatal Intitute",Childrens Hospital Los Angeles,"Chief,Division of Neonatology & Director, Fetal and Neonatal Institute at Childrens Hospital Los Angeles",https://www.linkedin.com/in/philippe-friedlich-75545555
"Andrew Brooks, M.D.",Founder/ Chief Medical Officer,Tigertext,Co-Founder/Chief Medical Officer Tigertext,https://www.linkedin.com/in/andrew-brooks-m-d-87345345
"Michelle Miller, MHA",,,Chief Human Resources Officer at Placentia-Linda Hospital,https://www.linkedin.com/in/michellemiller760
Charles L. Smith,Chief Operating Officer,Vantage Oncology - The US Oncology Network,Chief Operating Officer at Vantage Oncology,https://www.linkedin.com/in/charles-l-smith-0007513
Donald Gordon,,,Chief Operating Officer General Manager at Hispanic Physicians IPA and Clinica Medica General,https://www.linkedin.com/in/donald-gordon-74b9b
Brad Spellberg,,,Chief Medical Officer at LAC+USC Medical Center,https://www.linkedin.com/in/brad-spellberg-671336138
"Sarah Macias, RN, CCM",Chief Executive Officer,"Kreative Nursing Solutions, LLC","Chief Executive Officer of Kreative Nursing Solutions, LLC",https://www.linkedin.com/in/sarah-macias-rn-ccm-70700811
Tanya Dansky,Chief Medical Officer,"Care1st Health Plan - Yes, its all about you.",Chief Medical Officer at Care1st Health Plan,https://www.linkedin.com/in/tanya-dansky-42801818
David Davis,Vice President and Chief Quality Officer,Childrens Hospital Los Angeles (CHLA),Vice President and Chief Quality Officer at Childrens Hospital Los Angeles,https://www.linkedin.com/in/david-davis-695a427
Les Granow,,,Chief Financial Officer at Clover Health,https://www.linkedin.com/in/lesgranow
Pattie Soltero Sanchez,CHIEF NURSING OFFICER,Los Angeles County-Harbor/UCLA Medical Center,Chief Nursing Officer,https://www.linkedin.com/in/pattie-soltero-sanchez-4b100a20
Rick Rawson,Chief Strategist and Co-Founder,"HC2 Strategies, Inc.","Chief Strategies and Co-Founder, HC2 Strategies, Inc.",https://www.linkedin.com/in/rick-rawson-287605
"Richard Cooke, MD","Chief Medical Information Officer, Medical Directory and Faculty Physician",Family Practice of Glendale,Chief Medical Information Officer & Medical Director,https://www.linkedin.com/in/richard-cooke-md-07689ba5
Derek Drake,,,Chief Nursing Officer at St. Francis Medical Center,https://www.linkedin.com/in/derek-drake-209799125
Derek Chao,,,Chief Clinical Officer at HealthCare Partners,https://www.linkedin.com/in/derek-chao-1aa50210
Dr. Jennifer Wortham,Chief Executive Officer,University Preferred Health Partners,"Chief Administrative Officer, University Preferred Health Partners; Director, Desert Healthcare District",https://www.linkedin.com/in/dr-jennifer-wortham-782b392a
Mike Nicholson,Chief Executive Officer,LivHOME,Chief Executive Officer & Chairman of the Board at LivHOME,https://www.linkedin.com/in/mike-nicholson-10b51420
Pam Stahl,Chief Human Resources Officer,Providence Health and Services,"Chief Human Resources Officer, at Providence Health and Services- CA",https://www.linkedin.com/in/pam-stahl-402634
"Jared Giles, MHA, FACHE",,,Chief Operating Officer at Southwest Healthcare System - UHS,https://www.linkedin.com/in/jared-giles-mha-fache-0385a31
Randolph Siwabessy,"Chief Financial Officer, USC Verdugo Hills Hospital",Keck Medicine of USC,"Chief Financial Officer, USC Care Medical Group & Ambulatory Care Services and USC Verdugo Hills Hospital",https://www.linkedin.com/in/randolph-siwabessy-4591401
Ann Chang,Chief Information Security Officer,UCLA Health Sciences,Chief Compliance Security Officer at UCLA Health Sciences,https://www.linkedin.com/in/ann-chang-31b03a26
Jessica Clements,"Chief Medical Physicist and Regional Radiation Safety Officer, Southern California Region",Kaiser Permanente,"Chief Imaging Physicist and Regional RSO, Southern California Region Kaiser Permanente, SCPMG",https://www.linkedin.com/in/jessicaclements
Steven Mohr,,,Chief Financial Officer - LA Market at Providence St. Joseph Health,https://www.linkedin.com/in/steven-mohr-a26112129
Fernando Munguia,,,Chief Executive Talent Management Officer at My Benefits 247 L.L.C.,https://www.linkedin.com/in/fernando-munguia-97ab5bb
Alan Garrett,President & Chief Executive Officer,"St. Mary Medical Center, Providence St. Joseph Health",President & Chief Executive Officer at St. Mary Medical Center,https://www.linkedin.com/in/alangarrett
William Sargeant,Chief Operating Officer,City of Hope,Chief Operating Officer at City of Hope,https://www.linkedin.com/in/william-sargeant-25bb0970
Christopher Rose,"Chief Clinical Officer, Radiation Oncology",McKesson Specialty Health,"Chief Clinical Officer, Radiation Oncology, McKesson Specialty Health, US Oncology",https://www.linkedin.com/in/christopher-rose-b510ba13
"Jonathan Aquino, CPHQ",Corporate Chief Quality & Vice Compliance Officer,AHMC Healthcare,Corporate Chief Quality & Vice Compliance Officer at AHMC HealthCare,https://www.linkedin.com/in/jonaquino
Stephanie Hall,Chief Medical Officer,Keck Medical Center of USC,Chief Medical Officer at Keck Medicine of USC,https://www.linkedin.com/in/stephanie-hall-687b1688
Steve Meth,Chief Experience Officer,Prime Healthcare Services,"Chief Experience Officer at Prime Healthcare Management, Inc.",https://www.linkedin.com/in/steve-meth-55a7b569
Michelle Mok,Chief Financial Officer,Redlands Community Hospital,Chief Financial Officer/Healthcare Executive,https://www.linkedin.com/in/michelle-mok-0b332b
Elisabeth McLemore,"Chief, Colorectal Surgery",Kaiser Permanente,"Chief, Colorectal Surgery at Kaiser Permanente Los Angeles Medical Center",https://www.linkedin.com/in/elisabeth-mclemore-9a476a64
Wayne Sanner,Chief Operations Officer - Division 2,Rockport Healthcare Services,Chief Operations Officer - Division 2 Rockport Healthcare Services,https://www.linkedin.com/in/wayne-sanner-92175262
Lori Burnell,Senior Vice President Chief Nursing Officer,Valley Presbyterian Hospital,"Senior VP, Chief Nursing Officer",https://www.linkedin.com/in/lori-burnell-7b279644
Scott Kaiser,Chief Innovation Officer,MPTF,Chief Innovation Officer at Motion Picture & Television Fund,https://www.linkedin.com/in/scottkaisermd
Dennis Knox,,,President and Chief Executive Officer at Mid-Columbia Medical Center,https://www.linkedin.com/in/knoxdennis
Tom Mapp,Chief Compliance Officer,L.A. Care Health Plan,"Chief Compliance Officer, L.A. Care",https://www.linkedin.com/in/tom-mapp-a24b5913
Karen Walker Johnson,,,Chief Operations Officer Easy Choice Health Plan at WellCare Health Plans,https://www.linkedin.com/in/karen-walker-johnson-68b8826
Alex V.,Chief Operations Officer,.,Chief Operations Officer,https://www.linkedin.com/in/alex-v-1715458
Deborah Schneider,Chief Executive Officer,Staffing For Hire Inc.,Chief Executive Officer at Staffing For Hire,https://www.linkedin.com/in/deborahmschneider
Brittany Ludwin,EVP and Chief Administrative Officer,My Benefits 247 L.L.C.,EVP and Chief Administrative Officer at My Benefits 247 L.L.C.--,https://www.linkedin.com/in/brittany-ludwin-594742ba
Mark Russell,,,Chief Financial Officer at Retina Institute of California,https://www.linkedin.com/in/markrussell8
David Allen,,,Chief Financial Officer at AHMC HealthCare,https://www.linkedin.com/in/david-allen-34551220
"E. Ann Lee, FACHE",,,Chief Operating Officer at Glendale Memorial Hospital and Health Center,https://www.linkedin.com/in/e-ann-lee-fache-0a324212
"HEATHER DEL VILLAR, MSN, NP",Chief Nurse Practitioner,CareMore Health Plan,"Chief Nurse Practitioner, Staff VP - Center of Excellence - CareMore, an Anthem Company",https://www.linkedin.com/in/heather-del-villar-msn-np-4b8b2b10
Matthew Sandoval,,,Chief Deputy Director at Ventura County Health Care Agency,https://www.linkedin.com/in/matthew-sandoval-7b73967
