name,position,company,description,linkedin_url
b'Ryan Memmelaar',b'',b'',b'CTO at SmartCrowdz',b'tps://www.linkedin.com/in/ryan-memmelaar-b889923'
b'Matt Bricker',b'',b'',b'SVP IS & Technology; CTO at Surgent CPE',b'tps://www.linkedin.com/in/mattbricker'
b'Shawn Price',b'Co-founder & CTO',b'Healthy Roster',b'CTO at Healthy Roster',b'tps://www.linkedin.com/in/shawntprice'
b'Kurt Camealy',b'CTO',b'thinkCSC',b'CTO of thinkCSC',b'tps://www.linkedin.com/in/kurt-camealy-30b9657'
b'Erich Meier',b'',b'',b'CTO at Method Park Software AG',b'tps://www.linkedin.com/in/eric36'
b'Nolan Orfield',b'',b'',"b'Co-founder, CTO at ShapeLog'",b'tps://www.linkedin.com/in/nolan-orfield-14172384'
b'Benjamin Montello',b'',b'',"b'CTO LMS Services at Xcelerate Media, Inc.'",b'tps://www.linkedin.com/in/benjamin-montello-90618262'
b'Edward Heltzel',b'Co-Founder - CTO',b'Portside LTD',b'Co-Founder and CTO at Portside LTD',b'tps://www.linkedin.com/in/edheltzel'
b'Craig Finck',b'',b'',"b'CTO/Chief Architect/Technical Lead at Allen, Williams & Hughes Company (AWH)'",b'tps://www.linkedin.com/in/craigfinck'
b'LinkedIn Member',b'',b'',b'',b''
b'Anthony Greco',b'',b'',b'CTO at Drips.com',b'tps://www.linkedin.com/in/afgreco'
b'Jeff Tucker',b'Senior Technology Manager Homeland Security - Counter Terrorism & Law Enforcement CTO',b'SRA International - A CSRA Company',b'Senior Technology Manager Homeland Security - Counter Terrorism and Law Enforcement CTO at CSRA',b'tps://www.linkedin.com/in/jefftuckerwv'
b'Gregory Klein',b'',b'',b'Co-Founder + CTO at Incipia',b'tps://www.linkedin.com/in/grklein'
b'Tim Gallagher',b'CTO',b'BlackSands',b'CTO at BlackSands Inc',b'tps://www.linkedin.com/in/tim-gallagher-0ab05b9'
b'Rami Lulu',b'Cofounder and CTO',"b'Avenue Interactive, Inc.'","b'Co-Founder and CTO at Avenue Interactive, Inc.'",b'tps://www.linkedin.com/in/ramilulu'
b'Justin Barr',b'',b'',"b'CTO / Founder at Clear Process Solutions, LLC'",b'tps://www.linkedin.com/in/justin-barr-7b54238'
b'Timothy Hunkele',b'',b'',b'Co-Founder & CTO at Twined.com',b'tps://www.linkedin.com/in/timothyhunkele'
b'Mario Cipriano',b'',b'',"b'President, CTO at Team Internet Solutions'",b'tps://www.linkedin.com/in/mariocipriano'
b'Travis Jones',"b'Owner, CTO'","b'LHP Telematics, LLC and Wildcat Systems, LLC'","b'CTO, LHP Telematics'",b'tps://www.linkedin.com/in/wildcatsystems'
b'Andrew Colchagoff',b'CTO',"b'Ginkgotree, Inc'","b'CTO and co-founder of Ginkgotree, Inc'",b'tps://www.linkedin.com/in/denodster'
b'Patrick Arehart',b'President and CTO',"b'Arehart Consulting, LLC'","b'IT Professional, Designer and developer of custom solutions. Saves customers money on IT and Telecommunications'",b'tps://www.linkedin.com/in/arehart'
b'Dan Thiery',b'',b'',b'Co-Founder & CTO at EduSourced',b'tps://www.linkedin.com/in/danthiery'
b'Eric Grundlehner',b'',b'',b'',b'tps://www.linkedin.com/in/eric-grundlehner'
b'Matt Liszewski',b'CTO',b'CompanionLabs',"b'CTO & Co-Founder, CompanionLabs'",b'tps://www.linkedin.com/in/matt-liszewski-787b0b7'
b'Roy Slagle',b'CTO',b'Taivara | Innovation Consulting | New Product Development & Commercialization at Taivara',b'CTO at Taivara',b'tps://www.linkedin.com/in/roy-slagle-1a46906'
b'Mike Ravagnani',b'',b'',b'CTO at Revolution Group',b'tps://www.linkedin.com/in/ravagnani'
b'Steve Akers',b'CTO and Co-Founder',"b'Change Dynamix, Inc.'",b'CTO at Change Dynamix',b'tps://www.linkedin.com/in/steve-akers-966598'
b'Kevin Fleck',b'',b'',b'CTO Enterprise Strategy \xe2\x80\x93 Americas at Microsoft',b'tps://www.linkedin.com/in/kevin-fleck-80061aa'
b'Raj Nathan',b'VP & CTO',"b'N2 Services, Inc.'",b'VP & CTO N2 Services Inc',b'tps://www.linkedin.com/in/n2nathan'
b'Jonathan Runes',b'',b'',b'Co-Founder and CTO at Fude',b'tps://www.linkedin.com/in/jrunes'
b'Nathan Poeppelman',b'CTO',b'Acehopper',"b'CTO at Acehopper, Inc'",b'tps://www.linkedin.com/in/nathanpoeppelman'
b'John Kohlmeyer',b'',b'',b'CTO / Co-Founder at DriveCentric',b'tps://www.linkedin.com/in/johnnykohl'
b'Jonathan Brown',b'CTO',b'Results at Hand Software',b'CTO Results at Hand Software/CTO Global Wireless Solutions-ECBWireless/President AssociationVoting.com',b'tps://www.linkedin.com/in/jleightonbrown'
b'Greg Campbell',b'Co-Founder / CTO',b'Yottabyte',b'Co-Founder/CTO at Yottabyte LLC',b'tps://www.linkedin.com/in/greg-campbell-5b900ba9'
b'Jessica Zahnd',b'',b'',b'CTO & Co-founder at PawnGuru',b'tps://www.linkedin.com/in/jessicazahnd'
b'Michael Shea',b'Accenture Software H&PS CTO',b'Accenture',b'CTO Accenture Software Health and Public Service',b'tps://www.linkedin.com/in/michael-shea-7392595'
b'John Manera',b'Area CTO - Principal Systems Engineer',b'Dell EMC',b'CTO Ambassador & Principal Systems Engineer at Dell EMC',b'tps://www.linkedin.com/in/johnmanera'
b'Cory Rupert',b'',b'',b'Vice President and CTO at Club Prophet Systems',b'tps://www.linkedin.com/in/coryrupert'
b'Patrick Misch',b'',b'',"b'CTO, Co-Founder at Passage'",b'tps://www.linkedin.com/in/patmisch'
b'Aaron Anno',b'',b'',b'CTO at DIGIOP',b'tps://www.linkedin.com/in/aaronanno'
b'Bryan Culver',b'Senior Partner / CTO',"b'Argonomo, LLC.'","b'Senior Partner / CTO at Argonomo, CTO at Sidepitch'",b'tps://www.linkedin.com/in/bryanculver'
b'Philippe Green',b'',b'',"b'CTO at Greenview Data, Inc.'",b'tps://www.linkedin.com/in/philippe-green-5a77621'
b'Ashwin Malik',b'Champion of Technology Outreach (CTO)',b'Multiply Technology',b'CTO at Multiply',b'tps://www.linkedin.com/in/ashwinmalik92'
b'Tony Castiglione',b'CTO',b'Custom Solutions Group',b'',b'tps://www.linkedin.com/in/tonycastiglione'
b'Eric Merkel',b'',b'',"b'President and CTO at Sozo Technologies, LLC'",b'tps://www.linkedin.com/in/eric-merkel-53937714'
b'LinkedIn Member',b'CFO/CTO',b'Wright Tool Company',b'',b''
b'LinkedIn Member',b'CTO & Solutions Architect',"b'CloudStrategies, Inc'",b'',b''
b'Adam Morris',b'',b'',"b'CTO at Asset Strategies Group, LLC'",b'tps://www.linkedin.com/in/amorris'
b'Justin Donnell',b'',b'',b'CTO at Drive Trust Alliance',b'tps://www.linkedin.com/in/justindonnell'
b'LinkedIn Member',b'',b'',b'',b''
b'Sarvajit Sinha',b'CTO and Founder',b'Campfire Interactive',"b'CTO and Founder, Campfire Interactive'",b'tps://www.linkedin.com/in/sarvajit'
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'Jared Fleener',b'',b'',b'CTO & Co-Founder at Carely',b'tps://www.linkedin.com/in/jaredfleener'
b'Patrick McCarren',"b'Partner, CTO'",b'MMSC Consultants',"b'Lead Cloud Engineer, Lift; Founder CEO, gText LLC; Partner CTO, MMSC Consultants;'",b'tps://www.linkedin.com/in/patrick-mccarren-a186363a'
b'William Henry',b'CTO',b'iQventures',b'CTO',b'tps://www.linkedin.com/in/william-henry-13843a32'
b'Daron Underwood',"b'CTO, Vice President of R&D'",b'IntervalZero',"b'CTO, Vice President of R&D at IntervalZero, Inc.'",b'tps://www.linkedin.com/in/daron-underwood-9a5b174'
b'Carval Swaby',b'CTO / Chief Architect and Strategist',b'CGS Strategy LLC',b'CTO / Chief Architect & Strategist',b'tps://www.linkedin.com/in/carvalswaby'
b'Andrew Dobrowolski',b'',b'',"b'Technical Fellow, Office of the CTO at PTC'",b'tps://www.linkedin.com/in/andrew-dobrowolski-6598b34'
b'Tom Walker',b'CTO/CISO',b'Concordus Healthcare',b'CTO at Concordus Healthcare',b'tps://www.linkedin.com/in/tom-walker-a615984'
b'Bill Painter',b'',b'',b'Office of the CTO at Hyland Software',b'tps://www.linkedin.com/in/bill-painter-8530784'
b'Kyle Keesling',b'CTO & Founding Partner',b'PASS Training & Compliance',"b'CTO, PASS Training & Compliance'",b'tps://www.linkedin.com/in/kylekeesling'
b'Matt Weisberg',b'CTO',"b'Weisberg Consulting, Inc.'","b'CTO, Weisberg Consulting, Inc.'",b'tps://www.linkedin.com/in/mweisberg'
b'Nicholas Zographos',b'',b'',b'Co-Owner and CTO at Treetop Interactive',b'tps://www.linkedin.com/in/treetopdev'
b'Wayne Steiner',b'',b'',b'CTO at 4 Walls',b'tps://www.linkedin.com/in/wayne-steiner-61419036'
b'Zach Saunders',b'Co-Founder & CTO',b'Meiosis',b'Co-Founder & CTO',b'tps://www.linkedin.com/in/zachsaunders'
b'Andy Forsyth',b'CTO & Co-Founder',b'Public Insight Corporation',b'CTO & Co-Founder at Public Insight Corp.',b'tps://www.linkedin.com/in/andyforsyth'
b'Keith Shafer',b'',b'',"b'CTO Americas Eagle Team, IT Economics Practice at IBM'",b'tps://www.linkedin.com/in/keith-shafer-5356783'
b'Terry Hussey',b'',b'',b'CTO at Grand Vista Systems',b'tps://www.linkedin.com/in/thusseyhwmanagerarchitect'
b'Art Bigler',b'President and CTO',b'Bigler Group LLC',"b'President and CTO, Bigler Group LLC - Business and IT Consultants'",b'tps://www.linkedin.com/in/art-bigler-a041181'
b'Matt Riffle',b'',b'',"b'CTO at pair Networks, Inc.'",b'tps://www.linkedin.com/in/matt-riffle-52a83736'
b'LinkedIn Member',b'',b'',b'',b''
b'David Walter',b'',b'',"b'Founding Partner, CTO at bitcore'",b'tps://www.linkedin.com/in/david-walter-5b058014'
b'Vincent Tinch',b'',b'',b'CTO at Elk Software',b'tps://www.linkedin.com/in/vincenttinch'
b'William Oberman',b'',b'',"b'CTO at Civic Science, Inc'",b'tps://www.linkedin.com/in/oberman'
b'LinkedIn Member',b'CTO',b'Reply Inc.',b'',b''
b'Dan Grosu',b'',b'',"b'CTO at Information Security Media Group, Corp. (ISMG)'",b'tps://www.linkedin.com/in/dan-grosu-968bb3'
b'Michael Goliszek',b'Co-founder & CTO',"b""Heaven's Maid""",b'Co-founder & CTO at VentureStartApp',b'tps://www.linkedin.com/in/michael-goliszek'
b'Bole Chen',"b'Software Engineer Intern, Office of CTO'",b'Tintri',"b'Intern at TINTRI, Office of CTO | Master at CMU'",b'tps://www.linkedin.com/in/bole-chen-46b64a102'
b'Andrew Pang',b'CTO',"b'SparkParc, Inc.'","b'Student at The Ohio State University / CTO at SparkParc, Inc.'",b'tps://www.linkedin.com/in/panger95'
b'Sean Johnson',b'CTO',b'CemSites.com',b'CTO at CemSites',b'tps://www.linkedin.com/in/sean-johnson-aa60362a'
b'Larry Brown',b'',b'',b'CTO at InfoGrow',b'tps://www.linkedin.com/in/larry-brown-50925818'
b'LinkedIn Member',b'',b'',b'',b''
b'Jason Martin',b'Owner/CTO',"b'M&P Security Solutions, LLC'",b'Owner/CTO at M&P Security Solutions',b'tps://www.linkedin.com/in/jason-martin-2a046610'
b'Bruce Webster',b'CTO',b'PAX Pure',b'CTO at Pax Pure',b'tps://www.linkedin.com/in/bruce-webster-7b65832'
b'Greg Kelley',b'CTO',"b'Vestige, Ltd'","b'CTO at Vestige, Ltd and Owner, Vestige, Ltd'",b'tps://www.linkedin.com/in/greg-kelley-650a551'
b'LinkedIn Member',"b'Co-Founder, CTO'","b'Zensei, Inc'",b'',b''
b'Jerry Rucker',b'CTO',b'Mytual',b'Co-Founder & CEO at Warranty Ninja | CTO at Mytual',b'tps://www.linkedin.com/in/jerry-rucker'
b'Dan Stout',"b'Co-Founder, CTO'",b'CU-centric',"b'Co-Founder, CTO at CU-centric, LLC'",b'tps://www.linkedin.com/in/dan-stout-9b95659'
b'Lee Lemon',b'',b'',b'Owner/CTO at IMRadio.com',b'tps://www.linkedin.com/in/lee-lemon-a2b1894'
b'Chris Harrington',b'',b'',"b'CTO at ShufflePoint, Inc.'",b'tps://www.linkedin.com/in/chris-harrington-pgh'
b'Victor Vins',b'',b'',"b'CTO at Tradovate Technologies, LLC'",b'tps://www.linkedin.com/in/victor-vins-6a19624'
b'Valerio della Porta',b'',b'',b'CTO at Shoptelligence',b'tps://www.linkedin.com/in/valerio-della-porta-493a801'
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'Solomon Ilochi',b'',b'',b'CTO at MassMedia LLC',b'tps://www.linkedin.com/in/ilochis'
b'Karan Nakai',b'',b'',"b'CTO at SnipClip, Betabet Studios Private Ltd.'",b'tps://www.linkedin.com/in/karan-nakai-86255b65'
b'Alex Basalyga',"b'Co-founder, CTO'","b'Flag Universal, LLC'","b'Co-founder, CTO at Flag Universal'",b'tps://www.linkedin.com/in/alex-basalyga-46975762'
b'David Semich',b'President/CTO',b'Media Attractions LLC',b'President / CTO Media Attractions LLC',b'tps://www.linkedin.com/in/davidsemich'
b'Jay Mosier',b'',b'',"b'CTO at TLS.net, Inc.'",b'tps://www.linkedin.com/in/jay-mosier-88060113'
b'LinkedIn Member',b'',b'',b'',b''
b'Akshaya Ray',"b'CTO, Revize Software Systems'",b'revize.com',b'CTO',b'tps://www.linkedin.com/in/akshaya-ray-0190706'
b'LinkedIn Member',b'',b'',b'',b''
"b'Dan Switzer, II'",b'CTO/Lead Developer',"b'Giva, Inc.'","b'CTO at Giva, Inc. and Owner, PengoWorks LLC'",b'tps://www.linkedin.com/in/dswitzer'
b'Joe Bodek',b'',b'',b'CTO at Pinpoint Systems Corporation',b'tps://www.linkedin.com/in/joe-bodek-006789'
b'LinkedIn Member',"b'CTO, CIO'",b'DetroitExposure',b'',b''
b'Jim Lynn',b'',b'',"b'CEO, CTO at Allaccesshosting.com'",b'tps://www.linkedin.com/in/jimlynn'
b'Mark Carne',b'',b'',b'Chief Technology Officer (CTO) at My Mortgage Trainer',b'tps://www.linkedin.com/in/markcarne'
b'Joshua Talbott',b'',b'',b'CTO at Vuemesh LLC',b'tps://www.linkedin.com/in/joshtalbott'
b'LinkedIn Member',b'',b'',b'',b''
b'Robert Baskette',b'Founder / CTO',b'Roundtable Online Learning',b'Founder / CTO @ Roundtable Online Learning',b'tps://www.linkedin.com/in/robert-baskette-1630939'
b'LinkedIn Member',b'CTO',"b'Malus Pumila, LLC'",b'',b''
b'LinkedIn Member',b'CTO',b'FreedomSoft',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'LinkedIn Member',b'CTO',"b'Msen, Inc.'",b'',b''
b'LinkedIn Member',b'',b'',b'',b''
b'Benjamin Durnell',b'',b'',b'CTO at Braden Business System',b'tps://www.linkedin.com/in/benjamin-durnell-933b6b13'
b'LinkedIn Member',b'',b'',b'',b''
