name,position,company,description,linkedin_url
Prasanna Mohanty,Chief Operating Officer,Sutter Health,"Chief Operating Officer, Sutter Medical Foundation at Sutter Health",https://www.linkedin.com/in/prasannamohanty/
Darren Schulte,,,Chief Executive Officer at Apixio,https://www.linkedin.com/in/darren-schulte-4210641/
Jennifer White,Chief Commercial Officer,"Circulation, Inc.",Chief Commercial Officer at Circulation,https://www.linkedin.com/in/jennifer-white-68b5195/
Justin Graham,,,"Chief Innovation Officer, Healthcare at Hearst Business Media",https://www.linkedin.com/in/justinvgraham/
Eric Zimmerman,Chief Marketing Officer,RedBrick Health,Chief Marketing Officer at RedBrick Health; formerly SVP and GM at Mirixa; formerly SVP Marketing at RelayHealth,https://www.linkedin.com/in/ericzimmerman/
"Karen Stander, FACHE",Chief Home Health Executive,Sutter Health - Sutter Care at Home,Chief Home Health Executive at Sutter Care at Home,https://www.linkedin.com/in/karensein/
James Jackson,,,Chief Administrative Officer at Alameda Health System,https://www.linkedin.com/in/james-jackson-764bba4/
Christopher Dawes,Chief Executive Officer and President,Lucile Packard Children's Hospital,Chief Executive Officer and President at Lucile Packard Children's Hospital at Stanford,https://www.linkedin.com/in/christopher-dawes-365a951b/
John Michael Chavez,Chief Financial Officer (CFO),"Silver Point Plaza, Inc. DBA Canyon House",Chief Executive Officer (CEO),https://www.linkedin.com/in/john-michael-chavez-19728324/
Chris Grant,Chief Operating Officer and Executive Vice President,Kaiser Permanente,Chief Operating Officer and EVP Kaiser Permanente,https://www.linkedin.com/in/chris-grant-2a791264/
David O'Reilly,Chief Product Officer,"Proteus Digital Health, Inc","Chief Product Officer, Proteus Digital Health, Inc.",https://www.linkedin.com/in/davidoreilly/
Kim Branson,Chief Data Scientist,Lumiata,Chief Data Scientist,https://www.linkedin.com/in/kim-branson-b864963/
David M Olsen,,,Chief Revenue Officer at Honor,https://www.linkedin.com/in/davidmolsen10/
Sophia Chang,Chief Clinical Informatics Officer,Clover Health,Chief Clinical Informatics Officer,https://www.linkedin.com/in/sophiachangmd/
"Tosan O. Boyo, MPH, FACHE",Chief Operating Officer,Zuckerberg San Francisco General Hospital and Trauma Center,"Chief Operating Officer, Zuckerberg San Francisco General Hospital",https://www.linkedin.com/in/tosan-o-boyo-mph-fache-7285a920/
"Michael Blum, MD",Chief Medical Information Officer,UCSF Medical Center,"Associate Vice Chancellor for Informatics, Chief Digital Transformation Officer",https://www.linkedin.com/in/michael-blum-md-aa087318/
Michael Rowe,,,SVP/Chief Business Development and Strategic Relationships Executive at Kaiser Permanente,https://www.linkedin.com/in/michael-rowe-b3129938/
Scott Coffin,,,Chief Executive Officer at Alameda Alliance for Health,https://www.linkedin.com/in/scott-coffin-6672b23/
Mich Riccioni,Chief Financial Officer,St. Joseph Health System,"Chief Financial Officer, St. Joseph Health, Northern California Region",https://www.linkedin.com/in/mich-riccioni-091252b/
Kevin Knopf,Chief Medical Officer,Cancer Commons,"Chief Medical Officer, Cancer Commons",https://www.linkedin.com/in/drkevinknopf/
"Ann White RN, MSN, CENP",Chief Operating Officer/Chief Nursing Officer,San Ramon Regional Medical Ctr/John Muir Partner,Chief Operating Officer/Chief Nursing Officer,https://www.linkedin.com/in/ann-white-rn-msn-cenp-681678a9/
Rajib Ghosh,Chief Data and Transformation Officer,Community Health Center Network,Chief Data Officer | Product Director | Health IT | EHR | Analytics | Telehealth | Telemedicine,https://www.linkedin.com/in/rajibghosh1/
Gary Velasquez,,,"Chief Executive Officer at Cogitativo, Inc.",https://www.linkedin.com/in/gary-velasquez-67217b16/
Wendy Foad,Associate Chief Nursing Officer,Stanford Hospital and Clinics,Associate Chief Nursing Officer at Stanford Health Care,https://www.linkedin.com/in/wendy-foad-b363326/
"Michael J Hill, CPE",Chief Estimator,Kaiser Permanente,"North Bay Regional Chief Estimator - San Francisco, Marin & Sonoma Areas Kaiser Foundation Hospitals National Facilities Services",https://www.linkedin.com/in/michael-j-hill-cpe-68082894/
"Tina Mammone, PhD, RN",Vice President / Chief Nursing Officer,UCSF Medical Center,"Vice President/Chief Nursing Officer, UCSF Medical Center",https://www.linkedin.com/in/tina-mammone-phd-rn-3728518/
Rhona Snyman,Chief Strategy Officer- Center for Digital Health Innovation,UCSF Medical Center,"Chief Strategy Officer, UCSF CDHI",https://www.linkedin.com/in/rhonasnyman/
"Bridget Duffy, MD",Chief Medical Officer,Vocera,Chief Medical Officer at Vocera Communications,https://www.linkedin.com/in/drbridgetduffy/
David Joyner,Chief Operating Officer,Hill Physicians Medical Group,Chief Executive Officer at Hill Physicians Medical Group,https://www.linkedin.com/in/david-joyner-605186/
Michael Ng,,,Co-founder and Chief Operating Officer at Remedy Health,https://www.linkedin.com/in/michael-ng-501810a3/
Estrella Parker,,,Chief Human Resources Officer at Satellite Healthcare / WellBound,https://www.linkedin.com/in/estrella-parker-1431516/
Kangyi Mao,,,VP of Strategic Initiatives and Chief of Staff at Change Healthcare,https://www.linkedin.com/in/kangyimao/
"Tim Wafa, J.D.",Chief Privacy Officer,Telecare Corporation,Vice President of Technology & Chief Privacy Officer,https://www.linkedin.com/in/tim-wafa-j-d-2352952/
Tom DeLay,Chief Executive Officer,The Shenti Group Inc.,Chief Executive Officer at The Shenti Group,https://www.linkedin.com/in/tom-delay-b122b211/
Corwin Harper,SVP and Chief Diversity and Inclusion Officer,Kaiser Permanente--Northern California Region,SVP and Chief Diversity and Inclusion Officer- Kaiser Permanente Northern California Region,https://www.linkedin.com/in/corwinnharper/
Christian Pass,"SVP, Chief Financial Officer",John Muir Health,Chief Financial Officer,https://www.linkedin.com/in/christianpass/
Edward Hall,"Chief Executive, SRV, Chief Safety Officer, Chief Integration Officer",The Risk Authority Stanford,Chief Operating Officer,https://www.linkedin.com/in/edward-hall-57354930/
Abhishek Dosi,Chief Executive Officer - Sutter Solano Medical Center,Sutter Health,Chief Executive Officer - Sutter Solano Medical Center,https://www.linkedin.com/in/abedosi/
Jeffrey Rosen,,,"Sr. Director PMO, Development Sr. Director, Chief-Of-Staff for VP at Kaiser Permanente",https://www.linkedin.com/in/jeffrey-rosen-a29296/
"Lisa Grisim RN, MSN",Associate Chief Information Officer: Clinical Systems,Stanford Children's Health,Vice President & Associate Chief Information Officer,https://www.linkedin.com/in/lisa-grisim-rn-msn-0906a46/
Rochelle Benning,"Chief of Staff and Executive Director, Office of the Chief Technology Risk Officer",Kaiser Permanente,"Chief of Staff and Executive Director, Office of the Chief Technology Risk Officer",https://www.linkedin.com/in/rochellebenning/
"Hobart Harris, MD",,,Acting Chief of Surgery at Zuckerberg San Francisco General Hospital and Trauma Center,https://www.linkedin.com/in/hobart-harris-md-79418615/
Les Lifter,,,Chief Marketing Officer at Stanford Children's Health | Lucile Packard Children's Hospital Stanford,https://www.linkedin.com/in/leslifter/
Trevis Baker,Sr. Managing Director - Chief Learning Officer,Professional Services Management Company,Sr Managing Director- Chief Learning Officer,https://www.linkedin.com/in/trevisbaker/
Lee Huskins,,,President and Chief Administrative Officer at John Muir Physician Network,https://www.linkedin.com/in/lee-huskins-4462451/
JoAline Olson,Chief Human Performance Officer,Adventist Health,Senior VP Chief HR & Innovation Officer,https://www.linkedin.com/in/joaline-olson-19085a6/
Anthony Redmond,,,Chief Human Resources Officer at Alameda Health System,https://www.linkedin.com/in/anthony-redmond-80510b3/
Jukka Valkonen,"Chief Health and Innovation Officer, Co-Founder","Jiseki Health, Inc.","Chief Health and Innovation Officer, Co-Founder, Jiseki Health, Inc.",https://www.linkedin.com/in/jukkavalkonen/
Kimberly Menzel,Chief Nursing Officer,Kaiser Permanente,"Chief Operating Officer, Kaiser Permanate",https://www.linkedin.com/in/kimberly-menzel-85727525/
Russ Cucina,"Vice President, Health Informatics and Chief Health Information Officer",UCSF Health,"VP Health Informatics and Chief Health Information Officer, Professor of Hospital Medicine",https://www.linkedin.com/in/rjcucina/
Joseph Lopez-Cepero,Chief Nursing Officer,Tenet Healthcare,Chief Nursing Officer,https://www.linkedin.com/in/joseph-lopez-cepero-48300378/
Dawn Goeringer,CCO - Chief Clinical Officer,O'Connor Hospital,"Vice President, Chief Nurse Executive",https://www.linkedin.com/in/dawn-goeringer-94391526/
Nicole Brocato,"Vice President, Chief Quality Officer",NorthBay Healthcare,"Vice President, Chief Quality Officer",https://www.linkedin.com/in/nicole-brocato-43842422/
Adrian Rawlinson MD,,,Chief Medical Officer at Obeo Health Inc.,https://www.linkedin.com/in/adrianrawlinson/
Keith Wright,,,Chief Executive Officer at Wright Laboratories,https://www.linkedin.com/in/keith-wright-561162121/
"Dennis Kneeppel, RN, FACHE",Chief Operating Officer/Chief Nurse Executive,Kaiser Permanente,"COO/CNE - Chief Operating Officer and Chief Nurse Executive at Kaiser Permanente Medical Center - South San Francisco, CA",https://www.linkedin.com/in/dennis-kneeppel-rn-fache-25b6461a/
Rajiv Pramanik,Associate Chief Health Informatics Officer,Zuckerberg San Francisco General Hospital and Trauma Center,Associate Chief Health Informatics Officer,https://www.linkedin.com/in/rajiv-pramanik-b15a191/
Bill Tabler,"Chief Growth Officer, United Healthcare Community Plan of California",UnitedHealth Group,"Chief Growth Officer, UnitedHealthcare Community Plan of California",https://www.linkedin.com/in/bill-tabler-26a17b/
"John Arden, PhD",Chief Academic Officer,Kaiser Permanente,"Chief Academic Officer, Institute of Behavioral Health",https://www.linkedin.com/in/brainbasedtherapy/
"Eric Williams, FACHE",Chief Operating Officer - Santa Clara Medical Center,Kaiser Permanente,"Chief Operating Officer, Kaiser Permanente - Santa Clara Medical Center",https://www.linkedin.com/in/eric-williams-fache-097b0a9/
Scott Cheeseman,,,Chief Executive Officer at Direct Urgent Care,https://www.linkedin.com/in/scottcheeseman/
Alice Hm Chen,"Chief Medical Officer, San Francisco Health Network",San Francisco Department of Public Health,"Chief Medical Officer, San Francisco Health Network",https://www.linkedin.com/in/alice-hm-chen-88b5606/
Wojtek T. Nowak,Chief Executive Officer,Meritage Medical Network,"Chief Executive Officer, Meritage Medical Network",https://www.linkedin.com/in/wojtek-t-nowak-3879863/
Hamila Kownacki,Chief Operating Officer @ California Pacific Medical Center,Sutter Health,Chief Operations Officer at California Pacific Medical Center-Sutterhealth,https://www.linkedin.com/in/hamila-kownacki-7689133/
Rishi Madhok,Chief Medical Officer,NS1GHTER,Chief Medical Officer and Co-founder at Ns1ghter,https://www.linkedin.com/in/rishimadhok/
"Eric Raffin, FACHE, FHIMSS",,,Chief Information Officer at San Mateo County Health System,https://www.linkedin.com/in/eraffin/
Fred Studier,,,"President and Chief Executive Officer at MIXONIUM Group Holdings, Inc.",https://www.linkedin.com/in/fredstudier/
"Craig Guinasso, CISSP, CISM",,,Chief Security Officer at Genomic Health,https://www.linkedin.com/in/craig-guinasso-cissp-cism-9883781/
"Gurmeet Sran, MD",Associate Enterprise Chief Medical Information Officer,Dignity Health,Associate Enterprise Chief Medical Information Officer,https://www.linkedin.com/in/gsran/
Neil A. Solomon,"Co-founder, Chief Strategist, Chief Medical Officer",MedZed,"Co-founder, Chief Strategist, Chief Medical Officer at MedZed, LLC",https://www.linkedin.com/in/neil-a-solomon-5590905b/
Justin Larkin,Chief Medical Officer,WellSheet,Health Tech Entrepreneur | MD/MBA Candidate,https://www.linkedin.com/in/justinlarkin/
Kevin Fleming,,,Chief Executive Officer at Loyale,https://www.linkedin.com/in/kevin-fleming-255a1811/
Catherine Carson,,,Sr.Director/Chief Quality Officer at El Camino Hospital,https://www.linkedin.com/in/catherine-carson-a374117/
Craig Brandman,,,Chief Executive Officer at StepOne Personal Health,https://www.linkedin.com/in/craig-brandman-12ba452/
Mark Ficker,Chief Operating Officer,OptumCare,"Chief Operating Officer, OptumCare",https://www.linkedin.com/in/mark-ficker-5096465a/
Luis Fonseca,,,Chief Operating Officer at Alameda Health System,https://www.linkedin.com/in/luis-fonseca-07a89536/
Rhonda Collins,,,Chief Nursing Officer at Vocera Communications,https://www.linkedin.com/in/rhonda-collins-2089647/
Larry Coomes,Chief Executive Officer,Queen of the Valley Medical Center,Chief Executive Officer,https://www.linkedin.com/in/larry-coomes-2350502/
Bruce Butler,"Chief Executive Officer, Valley Health Plan",County of Santa Clara,Chief Executive Officer at Valley Health Plan,https://www.linkedin.com/in/brucewbutler/
Scott Goodin,Chief Financial Officer,Chinese Hospital,Chief Financial Officer,https://www.linkedin.com/in/scottgoodin/
Brad Stuart MD,,,Chief Medical Officer at Coalition to Transform Advanced Care (C-TAC),https://www.linkedin.com/in/brad-stuart-md-3168b31a/
Mitesh Popat,Associate Chief Executive Officer,Marin Community Clinics,Chief Medical Officer at Marin Community Clinics,https://www.linkedin.com/in/mitesh-popat-2173689/
Vicki Brooks,Chief Of Staff,Omnicell,Chief of Staff,https://www.linkedin.com/in/vicki-brooks-6012871/
Bill Beighe,Chief Information Officer,Physicians Medical Group Santa Cruz Health Information Exchange,Chief Information Officer Santa Cruz Health Information Exchange,https://www.linkedin.com/in/bill-beighe-a60968/
Monique Reese,Chief Clinical Officer,Sutter Care at Home,Chief Clinical Officer Sutter Care at Home,https://www.linkedin.com/in/monique-reese-b4073969/
Eric Surles Hardy,Regional Vice President/Chief Financial Officer,Verity Health System,Vice President/Chief Financial Officer - O'Conner & St. Louise Hospitals,https://www.linkedin.com/in/eshardy/
"Dov Marocco, MPH,CSSBB",Chief Innovation and Improvement Officer / Director Center for Population Health Improvement,Santa Clara Health & Hospital System,Chief Innovation and Improvement Office & Director of the Center for Population Health Improvement,https://www.linkedin.com/in/dovmarocco/
Sofia Dhanani,,,Chief Executive Officer at Morning Sign Out,https://www.linkedin.com/in/sofiadhanani/
Ghassan Jamaleddine,,,Chief Medical Officer at Alameda Health System,https://www.linkedin.com/in/ghassan-jamaleddine-5900a565/
Anna Roth,Chief Executive Officer,Contra Costa Regional Medical Center and Health Centers,"Chief Executive Officer, Contra Costa Regional Medical Center and Health Centers",https://www.linkedin.com/in/anna-roth-82618a13/
Ahsan Samiee,,,Chief Technology Officer at Wanda Inc.,https://www.linkedin.com/in/samiee/
Carl Zimmerman,,,Chief Operating Officer at Principium Health,https://www.linkedin.com/in/carl-zimmerman-07699a7/
Grace Li,Chief Executive Officer,On Lok,"Chief Executive Officer, On Lok, Inc.",https://www.linkedin.com/in/grace-li-2ba3424/
James Hudak,,,President & Chief Executive Officer at Paradigm Management Services,https://www.linkedin.com/in/james-hudak-7748693/
Jeffrey Arnold,,,Chief Medical Officer at Santa Clara Valley Health and Hospital System,https://www.linkedin.com/in/jeffrey-arnold-50ab5420/
"Walt Dannenberg, FACHE",Healthcare Executive - Medical Center Director (MCD) / Chief Executive Officer (CEO),VA Long Beach Healthcare System,Medical Center Director / Chief Executive Officer,https://www.linkedin.com/in/walt-dannenberg-fache-98784b18/
Meg Holland,,,Chief Operating Officer at Apixio,https://www.linkedin.com/in/meg-holland-71b369/
Kaitlyn Rice,,,Co-Editor-in-Chief at Public Health Advocate,https://www.linkedin.com/in/kaitlyn-rice-700254ba/
John Chapman,,,Chief Administrative Officer at Alameda Health System,https://www.linkedin.com/in/john-chapman-23292b96/
Jennifer Tong MD,Chief Medical Information Officer,Santa Clara Valley Medical Center,"Chief Medical Information Officer, Santa Clara Valley Medical Center",https://www.linkedin.com/in/jennifer-tong-md-7146b262/
Cynthia Chiarappa,"Vice President Adminstration, Chief of Staff to CEO",UCSF Medical Center,Vice President Adminstration and Chief of Staff Office of the CEO,https://www.linkedin.com/in/cynthiachiarappa/
Pushwaz V.,,,Chief Medical Information Officer - Sonoma Region at St. Joseph Health,https://www.linkedin.com/in/harvard/
"Peter L. Schilling, MD, MSc",Chief Executive Officer,"dataFasacia, Inc.","Orthopaedic Surgeon, dataFascia Chief Executive Officer",https://www.linkedin.com/in/peter-l-schilling-md-msc-746b7ba9/
"Benita McLarin, SM, MHA, FACHE",,,Chief Operating Officer at Santa Clara Valley Medical Center,https://www.linkedin.com/in/benita-mclarin-sm-mha-fache-556a7551/
Glenn Davis,Chief Innovation and Commerial Officer,Satellite Healthcare / WellBound,Chief Innovation and Commercial Officer,https://www.linkedin.com/in/glenn-davis-b099a1a/
"Dante' Mitchell Tolbert, FACHE",Founder + Chief Executive Officer,Cerebro Solutions,"Chief Executive Officer, Cerebro Solutions",https://www.linkedin.com/in/dantetolbert/
Deena Louie,,,Chief Operations Officer at San Francisco Health Plan,https://www.linkedin.com/in/deena-louie-8a3aa63/
"Kimberly Newell, MD FAAP","Physician, Chief Innovation Officer, Chief of Physician Health and Wellness",The Permanente Medical Group [Kaiser Permanente],"Pediatrician, Chief Innovation Officer, Kaiser Permanente",https://www.linkedin.com/in/kimberlynewellmd/
Kareena Hundal,,,Chief Scribe at ScribeAmerica,https://www.linkedin.com/in/kareenahundal/
Natalie Markoff,Chief Operations Officer,Ciserro,Chief Operating Officer - Ciserro,https://www.linkedin.com/in/natalie-markoff-ab161078/
Matthew Woodruff,,,Chief Operations Officer at Alameda Alliance for Health,https://www.linkedin.com/in/matthew-woodruff-668984b/
David Renfro,"Chief Nurse, Specialty and Hospital Based Services",VA Palo Alto Health Care System,"Chief Nurse, Specialty and Hospital Based Services, VA Palo Alto Health Care System",https://www.linkedin.com/in/david-renfro-90b0b926/
Pedro Cheung,Chief of Information Technology,"The Permanente Medical Group, Inc.","Primary Care Physician, Chief of Medical IT, and Christian Blogger | BibleSumo.com",https://www.linkedin.com/in/pedrocheung/
John Cullen,,,"Chief Strategy & Business Development Executive at Sutter Care at Home, a Sutter Health Affiliate",https://www.linkedin.com/in/john-cullen-94a9b03a/
Reymundo Espinoza,,,Chief Executive Officer at Gardner Family Health Network,https://www.linkedin.com/in/reymundo-espinoza-133aa418/
Julie Roberts,,,Chief Operating Officer at IPG - The Device Benefit Management Leader,https://www.linkedin.com/in/julie-roberts-285b771/
Jonathan Ciampi,,,Chief Executive Officer at Bright Heart Health,https://www.linkedin.com/in/jonciampi/
"Steve Wiesner, M.D.",Chief of Occupational Health,"The Permanente Medical Group, Inc.","Chief of Occupational Health, The Permanente Medical Group, Inc.",https://www.linkedin.com/in/stevewiesner/
John Gates,,,Chief Financial Officer at Sutter Health Bay Area,https://www.linkedin.com/in/john-gates-789516b/
Anne Foss-Durant,,,Chief Nursing Officer East Bay Service Area at Kaiser Permanente,https://www.linkedin.com/in/anne-foss-durant-080160a/
"Edwin Cabigao, PhD, RN",Chief Nursing Officer,"Jewish Home, San Francisco",Chief Nursing Officer,https://www.linkedin.com/in/edwin-cabigao-phd-rn-0a20345/
David Nolan,,,Chief Operating Officer at On Lok,https://www.linkedin.com/in/david-nolan-3380521/
Joseph Demont,,,VP & Chief Financial Officer at Bakersfield Heart Hospital,https://www.linkedin.com/in/joseph-demont-68510117/
Vijay Datt,Chief Operating Officer,Calibrated Healthcare Network,Chief Operating Officer at Calibrated Healthcare,https://www.linkedin.com/in/vjdatt/
Mary Grace Gardner,,,Area Portfolio Leader & Chief of Staff at Kaiser Permanente,https://www.linkedin.com/in/mary-grace-gardner-24260770/
Timothy Thompson-Cook,Chief Operations Officer,"Contra Costa Regional Medical Center and Health Centers, and Detention Health",Chief Operations Officer at Contra Costa Regional Medical Center and Health Centers,https://www.linkedin.com/in/timothy-thompson-cook-a1062630/
Veeral Shah,Chief Operating Officer,Spark Sleep Solutions Medical Group,Chief Operating Officer at Healthcare Business Advisers and Spark Sleep Solutions Medical Group,https://www.linkedin.com/in/shahveeral/
Todd L Ackerman,Chief Executive Officer,Tiatros Inc.,"Chief Executive Officer, Tiatros",https://www.linkedin.com/in/todd-l-ackerman-5a858b/
"Josh Rittenberg, MD","Chief, Physical Medicine and Rehabilitation Department",Kaiser Permanente,"Chief, Department of Physical Medicine and Rehabilitation, Kaiser Permanente East Bay",https://www.linkedin.com/in/josh-rittenberg-md-218ab5a4/
Tyler Hedden,Chief Operating Officer-Sonoma County,St. Joseph Health,Chief Operating Officer-St. Joseph Health Sonoma County,https://www.linkedin.com/in/tyler-hedden-309b7b9/
Evan Hirsch,Executive Creative Director and Fire Chief,Engine Co. 4,Chief Creative Officer at Engine Co 4 LLC,https://www.linkedin.com/in/evan-hirsch-138961/
"Rachael McKinney, FACHE",Chief Operating Officer,"VEP Healthcare, Inc",Chief Operating Officer,https://www.linkedin.com/in/rachael-mckinney-fache-8b9425/
"Jeff Robertson, MD",,,Chief Medical Officer at Santa Clara Family Health Plan,https://www.linkedin.com/in/jeffrobertsonmd/
Kristin Rodriguez,,,Chief Knowledge Officer at Health Plan Alliance,https://www.linkedin.com/in/kbrodriguez/
Steve O'Brien,,,Chief Medical Executive at Alta Bates Summit Medical Center,https://www.linkedin.com/in/steve-o-brien-601b14a7/
Paula Wilbourne,Chief Officer for Mental Health and Wellness,Sibly,Co-Founder & Chief Officer for Mental Health and Wellness,https://www.linkedin.com/in/paula-wilbourne-b6237a56/
Murali Naidu,"Vice President, Chief Clinical Officer",Sentara Healthcare,Chief Clinical Officer at Sentara Healthcare,https://www.linkedin.com/in/muralinaidu/
"Niren Angle, MD, RVT, FACS","Vice Chief of Staff, John Muir Medical Center - Concord",John Muir Health,"Vascular Surgeon Lieutenant Colonel, USAF, Vice Chief of Staff, John Muir Medical Center - Concord at John Muir Health",https://www.linkedin.com/in/niren-angle-md-rvt-facs-61340510/
Jenny Chang,"IT Strategic Services, CIO Chief of Staff Office",Kaiser Permanente IT,CIO Chief of Staff Office at Kaiser Permanente IT,https://www.linkedin.com/in/jennywchang/
Jeannie Lee,Chief People Officer and EVP,InnerChange: Trusted Residential Therapy,"Chief People Officer, EVP at InnerChange: Trusted Residential Therapy",https://www.linkedin.com/in/jeannie-lee-92a8883/
Ron Schaefer,,,Chief Operating Officer at Episcopal Senior Communities,https://www.linkedin.com/in/ron-schaefer-b0531a2/
Sandy Wrobel,,,"Chief Operating Officer & Interim CFO at monARC Bionetworks, Inc.",https://www.linkedin.com/in/sandy-wrobel-3291461/
