name,position,company,description,linkedin_url
Andy Rapoport,,,Chief of Staff at ExplORer Surgical,https://www.linkedin.com/in/rapoport-andy
Steve Moon,,,Chief Auditor at Hollister Incorporated,https://www.linkedin.com/in/steve-moon-7798641
"Syed H Rahman, MD",,,Chief Resident at Rush-Copley,https://www.linkedin.com/in/rahmanh
Everett Vokes,,,Physician-In-Chief at University of Chicago Medicine,https://www.linkedin.com/in/everett-vokes-b4561622
Amjad Safvi,Chief Radiologist,Radiology Reports Online,Chief radiologist at Radiology Reports Online,https://www.linkedin.com/in/amjad-safvi-4a91794
Adam Finzen,Chief Resident,Presence Health,Chief Resident Physician at Presence Health,https://www.linkedin.com/in/adam-finzen-18ab82112
Jim Morris,,,Chief Engineer at Advocate Health Care,https://www.linkedin.com/in/jim-morris-2538ba113
Lavigne John,,,Chief Psychologist at Childrens Memorial Hospital,https://www.linkedin.com/in/lavigne-john-17b12414
"Peter Papagiannopoulos, MD",,,Chief Resident at Rush University Medical Center,https://www.linkedin.com/in/peter-papagiannopoulos-md-550163121
David Michael,Chief Visionary,North Shore Pediatric Therapy,Chief Visionary of North Shore Pediatric Therapy,https://www.linkedin.com/in/david-michael-86a6656
Ben Derman,Chief Resident,"Department of Internal Medicine, Rush University Medical Center",Chief Resident at Rush University Medical Center,https://www.linkedin.com/in/ben-derman-28550a8a
Kelsey OConnor,,,Chief Resident at Loyola University Medical Center,https://www.linkedin.com/in/kelsey-o-connor-68460a32
Madeleine Matthiesen,,,Chief Resident at Massachusetts General Hospital Internal Medicine and Pediatrics,https://www.linkedin.com/in/madeleine-matthiesen-27ab6915
Lisa Nee MD,Chief Medical Officer,Rexuti Health Care,Interventional Cardiologist,https://www.linkedin.com/in/lisa-nee-md-1708a710a
Noah Berkson,Chief Operating Officer,Doc & I Inc.,Chief Operating Officer,https://www.linkedin.com/in/noahberkson
Krishna Ramachandran,Chief Administrative Officer,Boncura Health Solutions,Chief Administrative Officer,https://www.linkedin.com/in/grkrishna
Anne Robinson,Chief Talent Officer,VillageMD,Chief Talent Officer,https://www.linkedin.com/in/anne-robinson-b543382
Steve Schildwachter,Chief Marketing Officer,BrightStar Care,Chief Marketing Officer,https://www.linkedin.com/in/steveschildwachter
Toinette (Toni) Parrilla-Col\xc3\xb3n,Chief Strategy Officer,Midwest Post Acute Care,Chief Strategy Officer,https://www.linkedin.com/in/toinette-toni-parrilla-col%C3%B3n-22774614
Shai Berdugo,Chief Operating Officer,Legacy Healthcare LLC,Chief Operating Officer,https://www.linkedin.com/in/shai-berdugo-422492132
Michelle Stuercke,Chief Nursing Officer,Glen Health and Home Management,Chief Nursing Officer,https://www.linkedin.com/in/michelle-stuercke-93613530
Kelly Keegan,Chief Growth Officer,PrescribeWellness,Chief Growth Officer,https://www.linkedin.com/in/kellykeegan1
Jason Friesen,Chief Financial Officer,Help At Home LLC,Chief Financial Officer,https://www.linkedin.com/in/jason-friesen-158b699
David Benton,Chief Executive Officer,National Council of State Boards of Nursing (NCSBN),Chief Executive at NCSBN,https://www.linkedin.com/in/david-benton-61a63a8
Jay Banerjee,Chief Operating Officer,"ImmersiveTouch, Inc.",Chief Operating Officer,https://www.linkedin.com/in/jay-banerjee-14279244
Charles J. (Chuck) French,Chief Strategy Officer,Uniphy Health Holdings LLC,Chief Strategy Officer,https://www.linkedin.com/in/chuckfrench
Kaitlyn Lustig,Chief Operations Officer,LCM,Chief Operations Officer,https://www.linkedin.com/in/kaitlyn-lustig-84703993
Robert Molitor,Chief Operating Officer,Alden Management Services,Chief Operating Officer,https://www.linkedin.com/in/robert-molitor-8611a049
Sreekanth Surapaneni,Chief Bigdata Architect,ProcureTechStaff Consulting Services,Chief Bigdata Architect,https://www.linkedin.com/in/sreekanth-surapaneni-449b126
Karen Gillis,Chief Financial Officer,Lexington Health Network,Chief Financial Officer,https://www.linkedin.com/in/karen-gillis-7a47768
Rami Doukky,"Chief, Division of Cardiology",Cook County Health and Hospitals System,"Chief, Division of Cardiology",https://www.linkedin.com/in/rami-doukky-b5932849
Julie Simpkins,Chief Operating Officer,Gardant Management Solutions,Chief Operating Officer,https://www.linkedin.com/in/julie-simpkins-b83b4542
"Rishi Sud, MD",Chief Medical Officer,HealthLinc Community Health Center,Chief Medical Officer,https://www.linkedin.com/in/rishisud
Bill Currie,Chief Executive Officer,"OAMRI, LLC",Chief Executive Officer,https://www.linkedin.com/in/bill-currie-381b551
Moti Ninio,Chief Financial Officer,Legacy Healthcare LLC,Chief Financial Officer,https://www.linkedin.com/in/moti-ninio-a7725052
"Tanesha M. Daniels, MA",Chief Experience Officer,Loretto Hospital,Chief Experience Officer,https://www.linkedin.com/in/tanesha-m-daniels-ma-a4912048
"Alfred Bolden Jr., Doctoral Candidate, MPA, BSN",Chief Nurse Executive,South Shore Hospital Chicago,Chief Nurse Executive,https://www.linkedin.com/in/alfred-bolden-jr-doctoral-candidate-mpa-bsn-b128b46
Zeev Walny,Chief Executive Officer,Surgical Care Affiliates,Chief Executive Officer,https://www.linkedin.com/in/zeevwalny
Mike Brogan,Chief Financial Officer,Chicago Behavioral Hospital,Chief Financial Officer,https://www.linkedin.com/in/michaeljbrogan
Monica Schreck,Chief Nursing Officer,BRIA Health Services,Chief Nursing Officer,https://www.linkedin.com/in/monica-schreck-62104479
Aney Abraham MSN RN NE-BC,Chief Nursing Officer,Presence Health,Chief Nursing Officer,https://www.linkedin.com/in/aney-abraham-msn-rn-ne-bc-72b33921
Suzanne Garvin,Chief Operating Officer,"Family Home Health Care, CPT",Chief Operating Officer,https://www.linkedin.com/in/suzanne-garvin-26559016
Diane Akrami,Chief Operating Officer,DataMetrix,Chief Operating Officer,https://www.linkedin.com/in/diane-akrami-85357911
Jerry Isikoff,Chief Operating Officier,Infant Welfare Society of Chicago,Chief Operating Officier,https://www.linkedin.com/in/jerry-isikoff-06067317
Keji Akin,Chief Executive Officer and Medical Director,Balance! Pediatric and Family Weight Management Specialists,Chief Executive Officer,https://www.linkedin.com/in/keji-akin
Lauren Neaman,Chief Clinical Officer,The Depression and Anxiety Specialty Clinic of Chicago,Chief Clinical Officer,https://www.linkedin.com/in/lauren-neaman-6b563041
"Vinay Bhargava, MBA, PharmD",Chief Pharmacy Officer,UNITE HERE HEALTH,Chief Pharmacy Officer,https://www.linkedin.com/in/vinay-bhargava-mba-pharmd-a4804714
Jeff D.,Chief Financial Officer,Porter Regional Hospital,Chief Financial Officer,https://www.linkedin.com/in/jeff-d-a879234
"Stephanie Smith, CPA",Chief Financial Officer,InterCare Community Health Network,Chief Financial Officer,https://www.linkedin.com/in/stephanie-smith-cpa-46aa1b10
"Rita Gallagher, CPA, MBA, COE",Chief Operating Officer,Arbor Centers For EyeCare,Chief Operating Officer,https://www.linkedin.com/in/ritasgallagher
Ric Schneider,,,Chief Procurement Officer at Abbott,https://www.linkedin.com/in/ric-schneider-65811519
Jay Rudman,,,Chief Executive Officer at TopstepTrader,https://www.linkedin.com/in/jayrudman
Daniel Drach,,,Chief Medical Scribe at ScribeAmerica,https://www.linkedin.com/in/daniel-drach-88676aa0
Paul Bradley,,,Chief Data Scientist at ZirMed,https://www.linkedin.com/in/paul-bradley-51a84
Justin Knechtel,Chief Marketing Officer,MedPro Disposal,Chief Marketing Officer | Advisor,https://www.linkedin.com/in/justinknechtel
Neepa Patel,Chief Growth Officer,IPG - The Device Benefit Management Leader,Chief Growth Officer at IPG,https://www.linkedin.com/in/neepap
Brian Murphy,,,Chief Executive Officer at Nanovibronix,https://www.linkedin.com/in/brian-murphy-31927524
Mark Dogadalski,,,Chief Operations Officer at HealthFitness,https://www.linkedin.com/in/markdogadalski
Jeff Kaplan,,,Chief Strategy Officer at ZirMed,https://www.linkedin.com/in/jeffreydavidkaplan
Daniel Bodde,,,Chief Marketing Officer at Opternative,https://www.linkedin.com/in/daniel-bodde-64a48135
John Laursen,,,Chief Growth Officer at Aidin,https://www.linkedin.com/in/john-laursen-3118284
Jacquelyn Whitten,,,Chief Nurse Executive/VP,https://www.linkedin.com/in/jacquelyn-whitten-1512558
Ross Levine,,,Chief Financial Officer at VillageMD,https://www.linkedin.com/in/ross-levine-a5788b1
"Eric Louie, MD",Chief Medical Officer,Healthbox (www.healthbox.com),Chief Medical Officer at Healthbox,https://www.linkedin.com/in/eric-louie-md-2760b86
Eric G.,,,Chief Financial Officer at Adreima,https://www.linkedin.com/in/ericgordon1
Mike Roberts,,,Chief Technology Officer at VillageMD,https://www.linkedin.com/in/professionalmikeroberts
Steven Serota,Chief Operating Officer,Wisconsin Diagnostic Laboratories,Chief Operating Officer WDL,https://www.linkedin.com/in/stevenserota
Dennis ODonnell,,,Chief Executive Officer at PinpointCare,https://www.linkedin.com/in/dennis-o-donnell-a08a7915
Kevin Desai,,,Chief Executive Officer at TAFi,https://www.linkedin.com/in/desai
Terry Murphy,Chief Operating Officer,1EQ,Chief Operating Officer at Babyscripts,https://www.linkedin.com/in/terry-murphy-5b104431
Char Bonvissuto,,,Chief Operating Officer at Optum,https://www.linkedin.com/in/char-bonvissuto-27a8822
"Robert Longo, MHA",,,Chief Operating Officer at Dungarvin,https://www.linkedin.com/in/robert-longo-mha-7a89722
Amy Bergau,Chief Xenergy Officer,Xenergy Healthcare Marketing,"Founder, Chief Xenergy Officer",https://www.linkedin.com/in/amy-bergau-1241454
Jennifer Michael,Chief Information Officer,American Board of Medical Specialties (ABMS),"Chief Information Officer, ABMS",https://www.linkedin.com/in/jennifer-michael-5786618
Jerry Gulley,,,Chief Content Officer at EdLogics,https://www.linkedin.com/in/jerry-gulley-35252b3
Kristine Shields MHA MSN RN,Chief Business Development Officer,MetroSouth Medical Center,Chief Business Development Officer,https://www.linkedin.com/in/kristine-shields-mha-msn-rn-553a5213
Richard Lofgren,,,chief clinical officer at UHC,https://www.linkedin.com/in/richard-lofgren-ba07b461
Joe Bauers,,,Chief Strategy Officer at HAAA,https://www.linkedin.com/in/joe-bauers-011b97115
"Julie Bonello, CHCIO",,,Chief Information Officer at Rush Health,https://www.linkedin.com/in/julie-bonello-chcio-9a10371
Kevin Weinstein,,,Chief Executive Officer at Analyte Health,https://www.linkedin.com/in/kevin-weinstein-605335
Susan Mueller,,,Chief Marketing Officer at Aloria Health,https://www.linkedin.com/in/susan-mueller-670a5418
Suresh Krishnan,,,Chief Technology Officer at AMITA Health,https://www.linkedin.com/in/suresh-krishnan-59a2669
Aaron Symanski,,,Chief Technology Officer at Change Healthcare,https://www.linkedin.com/in/aaronsymanski
Patty Riskind,Chief Operating Officer,"SIMnext, LLC",Chief Operating Officer at SIMnext LLC,https://www.linkedin.com/in/patty-riskind
Dennis Akotia,Chief Operations Officer,Molina Healthcare,Chief Operating Officer at Molina Healthcare,https://www.linkedin.com/in/dennis-akotia-9a609a11
Devin Gross,,,Chief Executive Officer at Emmi Solutions,https://www.linkedin.com/in/devin-gross-0508525
James Kelley,Chief Financial Officer,Presence Health,Chief Financial Officer - Presence Health,https://www.linkedin.com/in/james-kelley-a8153117
Kevin Mehta,,,Chief Technology Officer at Payformance Solutions,https://www.linkedin.com/in/kdmehta
Tony Filer,,,Chief Financial Officer at Presence Health,https://www.linkedin.com/in/tony-filer-49746415
Kin Lee,,,Chief Information Officer at The Joint Commission,https://www.linkedin.com/in/kin-lee-a4a9b25
Michael Goebel,Chief Executive Officer,AMITA Health Adventist Medical Center - Hinsdale/La Grange,Chief Executive Officer at Amita Health,https://www.linkedin.com/in/michael-goebel-49313711
Divya Varshney,,,Chief Commercial Officer at Texture Health,https://www.linkedin.com/in/divyavarshney
Milton Silva-Craig,,,Chief Executive Officer at Q-Centrix,https://www.linkedin.com/in/milton-silva-craig-4b62211
David Cooper,Chief Growth Officer,"Momentum Health, LLC",Chief Growth Officer at Momentum Health,https://www.linkedin.com/in/david-j-cooper
Syed Haque,,,Chief Information Officer at Loretto Hospital,https://www.linkedin.com/in/syedhaque
Dawn DeBolt,Chief Operating Officer,Registry Partners,"Chief Operating Officer, Registry Partners",https://www.linkedin.com/in/dawn-debolt-44383299
Michael Oltman,,,"Chief Technology Officer at Apervita, Inc.",https://www.linkedin.com/in/mikeoltman
Perry Sweet,Chief Operating Officer,Recondo Technology,"Chief Operating Officer, Recondo Technology",https://www.linkedin.com/in/perry-sweet-2515153
Stephanie Kowalski,Chief Marketing Officer,Applied Pathways LLC,Chief Marketing Officer at Applied Pathways,https://www.linkedin.com/in/stephanie-kowalski-a3699b4
Scott Goss,,,Chief Marketing Officer at Forefront Dermatology,https://www.linkedin.com/in/scottgoss
Mark Pelletier,Chief Operating Officer,The Joint Commission,Chief Operating Officer at the Joint Commission,https://www.linkedin.com/in/mark-pelletier-2226b412
Trish Cassidy,Chief Strategy Officer,AMITA Health,"Chief Strategy Officer, AMITA Health",https://www.linkedin.com/in/trishcassidy
Zev Alter,,,Chief Operating Officer at ReMED Services,https://www.linkedin.com/in/zev-alter-60723030
Jim Adams,,,Chief Medical Officer at Northwestern Medicine,https://www.linkedin.com/in/jim-adams-2423062
"Martin Siglin MD, CPE, FACP",Interim System Chief Medical Officer,Presence Health,Chief Medical Officer at Presence Health,https://www.linkedin.com/in/martinsiglin
Robert Francis Amoloria,Chief Nursing Officer,Legacy Healthcare LLC,Chief Nursing Officer at Legacy HealthCare,https://www.linkedin.com/in/robert-francis-amoloria-599752105
Roslyn Lennon,Chief Nursing Officer,"West Suburban Hospital, Tenet Health Care","Healthcare Executive, Chief Nursing Officer",https://www.linkedin.com/in/roslyn-lennon-478a244
Andy Mitzen,,,Chief Development Officer at QualDerm Partners,https://www.linkedin.com/in/andymitzen
Eli Meystel,,,Chief Executive Officer at Renewal Reha,https://www.linkedin.com/in/eli-meystel-4085196
Christopher DeLuca,,,Chief Financial Officer at Forefront Dermatology,https://www.linkedin.com/in/christopher-deluca-2656915
Angie Perkins,,,Chief Financial Officer at Salter Labs,https://www.linkedin.com/in/angie-perkins-5816bb30
Danish Qureshi,,,Chief Growth Officer at LifeStance Health,https://www.linkedin.com/in/danish-qureshi-04956117
Nadim Abi-Antoun,,,Chief Operating Officer at Presbyterian Homes,https://www.linkedin.com/in/nadimabiantoun
Jayson Pearl,,,Chief Brand Officer at BrightStar Care,https://www.linkedin.com/in/jaysonpearl
David Claud,,,Chief Medical Officer at Activate Healthcare,https://www.linkedin.com/in/david-claud-6921198
Michael Ditoro,Chief Executive Officer,Westlake Hospital,Chief Executive Officer at WestLake Hospital,https://www.linkedin.com/in/michael-ditoro-24934b29
Roueen Rafeyan MD,Chief Medical Officer,"GATEWAY FOUNDATION, INC.",Chief Medical Officer Gateway Foundation,https://www.linkedin.com/in/roueen-rafeyan-md-03a725a4
Laura Bagus,,,Chief Technology Officer at Edward Hospital,https://www.linkedin.com/in/laura-bagus-35b6b424
Fred Goldman,,,Chief Financial Officer at Illuminate Healthcare,https://www.linkedin.com/in/fred-goldman-0b70775
Dougal Hewitt,,,Chief Mission Officer at Presence Health,https://www.linkedin.com/in/dougal-hewitt-b5490427
Justine Mitchell,Chief Clinical Officer,Regroup Therapy,Chief Clinical Officer at Regroup Therapy,https://www.linkedin.com/in/justine-mitchell-10a6133
Nathan Davis,Chief Financial Officer,"Managcare, Inc.",Chief Executive Officer at Mosaic Healthcare,https://www.linkedin.com/in/nathan-davis-8755bb57
Daniel Baker,,,"Chief Operating Officer at HealthDrive, Inc.",https://www.linkedin.com/in/daniel-baker-6339977
Jay Cowen,,,President and Chief Executive at CritiCare Intensivists,https://www.linkedin.com/in/jay-cowen-0689351a
Pritesh Patel,,,Chief Operating Officer at Carepoint Healthcare,https://www.linkedin.com/in/pritesh-patel-2aa61012
Sherman Hayes,Chief Information Officer,Geminus,Chief Information Officer at Geminus Corp,https://www.linkedin.com/in/sherman-hayes-368a973
Murat Surucu,Chief of Clinical Physics,Loyola University Medical Center,Assistant Professor and Chief of Clinical Physics,https://www.linkedin.com/in/muratsurucu
Chris Brodkin,Ambassador Chief Hospitalist,Sound Physicians,Ambassador Chief Hospitalist at Sound Physicians,https://www.linkedin.com/in/chris-brodkin-39392a61
Jim Kingsley,,,Chief Operating Officer at Scheck & Siress,https://www.linkedin.com/in/jimkingsley
David Orsini,Chief Executive Officer,JDCSupplies,Chief Executive Officer at JDCSupplies Inc.,https://www.linkedin.com/in/david-orsini-71643852
Julie Gagliardotto,,,"Chief Compliance Officer at HealthTronics, Inc.",https://www.linkedin.com/in/julie-gagliardotto-a6834a13
Raul Almazar,,,"President, Chief Consultant at Almazar Consulting",https://www.linkedin.com/in/raul-almazar-5a016610
William Kent,,,Chief IT Architect at The Joint Commission,https://www.linkedin.com/in/william-kent-900873
Stacy Smith,,,Chief Operating Officer at National PT,https://www.linkedin.com/in/stacy-smith-85a77a7
David Jones,,,Chief Financial Officer at AMITA Health,https://www.linkedin.com/in/david-jones-997a5b122
Patrick Miyamasu,,,Chief Clinical Officer at Familia Dental,https://www.linkedin.com/in/patrick-miyamasu-5b5193120
ROBERT BEARD,Chief Operating Officer,Vibra Healthcare,Chief Operations Officer at Vibra Healthcare,https://www.linkedin.com/in/robert-beard-64651556
Pamela Zaremba (Rolfs),Chief Radiation Therapist,UroPartners LLC.,Chief Radiation Therapist at UroPartners LLC,https://www.linkedin.com/in/pamela-zaremba-rolfs-16b86128
"Stephanie Cowser, CPA",,,Chief Financial Officer at Medical Specialists,https://www.linkedin.com/in/stephanie-cowser-cpa-097a462a
Michael P Colucci,Chief Executive Officer,IDILUS LLC,Owner and Chief Executive Officer Idilus LLC,https://www.linkedin.com/in/michael-p-colucci-6659a1
David Lundal,,,Chief Strategy Officer at Doc & I Inc.,https://www.linkedin.com/in/davidlundal
Steven Smith,,,Chief Information Officer at NorthShore University HealthSystem,https://www.linkedin.com/in/steven-smith-7932025
Lachlan Tidmarsh,,,Chief Information Officer at Surgical Care Affiliates,https://www.linkedin.com/in/lachlantidmarsh
Geoff Price,,,Chief Operating Officer at Oak Street Health,https://www.linkedin.com/in/geoffmprice
Terri Cunliffe,,,Chief Executive Officer at Covenant Retirement Communities,https://www.linkedin.com/in/terri-cunliffe-19238714
Mike Pykosz,,,Chief Executive Officer at Oak Street Health,https://www.linkedin.com/in/mike-pykosz-b910384
Joshua Lee,Chief Medical Officer,Loyola University Health System,"Chief Medical Officer, Loyola University Medical Center",https://www.linkedin.com/in/joshua-lee-ab653959
J.P. Gallagher,,,Chief Operating Officer at NorthShore University HealthSystem,https://www.linkedin.com/in/j-p-gallagher-50878175
Brent Mack,Chief Operating Officer,ATI Physical Therapy,Chief Operating Officer - ATI Physical Therapy,https://www.linkedin.com/in/brent-mack-85280214
Ruth Colby,,,Chief Strategy Officer at Silver Cross Hospital,https://www.linkedin.com/in/ruth-colby-71028b3
Wayne Bulmahn,Chief Information Officer,UNITE HERE Health,IT Business Doctor | Chief Information Officer,https://www.linkedin.com/in/wbulmahn
Adrian Soto,,,Chief Strategy Officer at Esperanza Health Centers,https://www.linkedin.com/in/adriansoto
"Sally Szumlas RN MS, MPH, CPHQ, NEA-BC",,,Chief Operating Officer at American Osteopathic Association,https://www.linkedin.com/in/sallyszumlas
Donna Cooper,Chief Operations Officer,Advocate Medical Group,Chief Operating Officer Advocate Medical Group,https://www.linkedin.com/in/donna-cooper-1b152a5
Jody Holt,Chief Financial Officer,Covenant Retirement Communities,Chief Financial Officer - Covenant Retirement Communities,https://www.linkedin.com/in/jody-holt-4093bb31
Pamela Bonnett,Chief Sales Officer,GE Healthcare Digital,"Chief Sales Officer, GE Healthcare Digital",https://www.linkedin.com/in/pamelabonnett
Karima Bentounsi,Chief Executive Officer,Weiss Memorial Hospital,Chief Executive Officer- Weiss Memorial Hospital,https://www.linkedin.com/in/karima-bentounsi-98446b10
Connie Moser,,,"Chief Operating Officer at Verge Solutions, LLC",https://www.linkedin.com/in/connie-moser-8b82a9
Robert Kritzler,,,Chief Medical Officer at Family Health Network,https://www.linkedin.com/in/robert-kritzler-80606817
Dennis Fine,,,Chief Operating Officer at Dupage Medical Group,https://www.linkedin.com/in/dennis-fine-64422986
Ashley Dickinson,,,Chief Executive Officer at La Porte Hospital,https://www.linkedin.com/in/ashley-dickinson-34838611
Rick Davis,Chief Executive Officer,ql\xc4\x93r Solutions,"Chief Executive Officer, Founder, Board Member",https://www.linkedin.com/in/rick-davis-a0a4423
Steve Brewer,,,Chief Executive Officer at Galen Healthcare Solutions,https://www.linkedin.com/in/steve-brewer-42638432
Hans Thunem,,,Chief Executive Officer at Vein Clinics of America,https://www.linkedin.com/in/hans-thunem-920b8313
James Chow,,,Chief Financial Officer at Oak Street Health,https://www.linkedin.com/in/james-chow-013226
Blaine Petersen,,,Chief Financial Officer at Loyola University Health,https://www.linkedin.com/in/blaine-petersen-43ba16a
Shimmy Meystel,,,Chief Executive Officer at Concerto Renal Services,https://www.linkedin.com/in/shimmy-meystel-982a1838
Danilo Coite MD,,,"Chief Executive Officer at Independence Plus, Inc.",https://www.linkedin.com/in/drcoite
Shannon Sims,,,Chief Analytics Officer at Upfront Healthcare Services,https://www.linkedin.com/in/shannon-sims-4087341
Todd Vang,,,Chief Operating Officer at Physicians Immediate Care,https://www.linkedin.com/in/todd-vang-b45a562
James Kiamos,,,Chief Operating Officer at Family Health Network,https://www.linkedin.com/in/james-kiamos-290a815
Saqib Akhter,,,Chief Executive Officer at Post Acute Analytics,https://www.linkedin.com/in/saqib-akhter-b771237
Tim Watson,,,Chief Marketing Officer at Favor Health Care,https://www.linkedin.com/in/timrwatson
Scott Milligan,Chief Executive Officer,PetCure Oncology,Chief Executive Officer at PetCure Oncology LLC,https://www.linkedin.com/in/scott-milligan-4aa67928
Tanya Hawkins,CHIEF OPERATING OFFICER,"VHC, Inc.",CHIEF OPERATING OFFICER \xe2\x99\xa6 REVENUE CYCLE EXECUTIVE,https://www.linkedin.com/in/tanyakhawkins
Muhammad Nafees,Chief Operating Officer,Chicago Rehabilitation Consultants,Chief Operating Officer at Chicago Rehabilitation Consultants,https://www.linkedin.com/in/muhammad-nafees-5954113a
Charles Ross,,,Chief Strategy Officer at Transitional Care Management,https://www.linkedin.com/in/charlesarosschicago
Leslie Stern,Chief Operating Officer,Presence Health,Chief Operating Officer at Presence Medical Group,https://www.linkedin.com/in/leslie-stern-5987356
Tom Garvey,,,Chief Financial Officer at Swedish Covenant Hospital,https://www.linkedin.com/in/tom-garvey-002112a
Neil Pliskin,,,"Professor and Chief, Neuropsychology at University of Illinois at Chicago",https://www.linkedin.com/in/neil-pliskin-5470a79
Grace Hong Duffin,Chief Operating Officer,Kenneth Young Center,"Chief Operating Officer, Kenneth Young Center",https://www.linkedin.com/in/grace-hong-duffin-a216723
Ed Dufour,,,Chief Technology Officer at Midwest Orthopaedics at Rush,https://www.linkedin.com/in/eddufour
Vivian White,,,Chief Executive Officer at Kindred Chicago Lakeshore,https://www.linkedin.com/in/vivian-white-00a03532
"ROSETTA SPEIGHTS RN, MSA/MSN, NEA-BC, CPHQ, CPPS",,,Chief Quality Officer at Vista Health System,https://www.linkedin.com/in/rosetta-speights-rn-msa-msn-nea-bc-cphq-cpps-44450519
John McElwee,Chief Financial Officer,Howard Brown Health,"Chief Financial Officer, Howard Brown Health",https://www.linkedin.com/in/john-mcelwee-0424051
Josh Gantz,,,Chief Financial Officer at Ambulatory Management Solutions,https://www.linkedin.com/in/josh-gantz-075a348
Timothy Simpson,Chief Nursing Officer,Seasons Health Care Management,Chief Clinical Officer Seasons Healthcare Management,https://www.linkedin.com/in/timothy-simpson-4683b84
Mark Goldman,,,Chief Information Officer at United Dental Partners,https://www.linkedin.com/in/mark-goldman-535407119
Gail Mahaffey,,,Chief Development Officer at Sinai Health System,https://www.linkedin.com/in/gail-mahaffey-6a1a181a
"Gary Wainer, D.O.",chief medical officer,Chicago Health System,Chief Medical Officer at Chicago Health System,https://www.linkedin.com/in/gary-wainer-d-o-ab58bb5
