name,position,company,description,linkedin_url
Louise Elliott,Founder & Chief Transformational Officer (CTO),CareerPowerShift LLC,Chief Transformational Officer (CTO),https://www.linkedin.com/in/elliottlouise
Chris Cooke,Chief Client Officer,Mindset Digital,chief client officer | positivity and wellness evangelist | digital strategist,https://www.linkedin.com/in/chriscooke007
David Eubank,Chief Information Officer,Forest City Realty Trust,Chief Information Officer,https://www.linkedin.com/in/davideubank
Scott Wabnitz,Chief Technology Officer,Wired Campaigns,Chief Technology Officer,https://www.linkedin.com/in/scottwabnitz
Paul Elder,"EVP, Chief Compliance Officer, Business Development","Community Banc Consulting of Ohio, Inc.","EVP, Chief Compliance Officer, CISM, Business and Service Development, Speaker",https://www.linkedin.com/in/paulelder
Kimberly Clarke,,,Asst. VP & Chief Applications Officer at West Virginia United Health Sysstem,https://www.linkedin.com/in/kimberly-clarke-97b2628
Sridhar Nannapaneni,Chief Executive Officer,"Comtech Global, Inc",Chief Executive Officer at COMTECH GLOBAL,https://www.linkedin.com/in/sridharnannapaneni
Alexandru Barbur,"Co-founder, Chief Technology Officer",Autoimmune Citizen Science,Chief Technology Officer at Autoimmune Citizen Science,https://www.linkedin.com/in/alexandru-barbur-43236993
Blake Williams,,,Chief Digital Officer at cheers studios,https://www.linkedin.com/in/blakeedwardwilliams
Barret Blake,Chief Technical Officer (CTO),Capture Education,Chief Technical Officer,https://www.linkedin.com/in/barretblake
Matt Hunter,Chief Project Officer,"iVThree, Inc.","Chief Project Officer at iVThree, Inc",https://www.linkedin.com/in/matthewjhunter
Ted Teele,,,Chief Executive Officer at Touchtown,https://www.linkedin.com/in/ted-teele-26b3421
Dewand Neely,Chief Information Officer,State of Indiana,Chief Information Officer at the State of Indiana,https://www.linkedin.com/in/dewand-neely-a039981
Justin Fite,,,Chief Sales Officer at Lessonly,https://www.linkedin.com/in/justinfite
Gregory Jackson,Chief Information Officer,Ohio Department of Job and Family Services,Chief Information Officer (CIO),https://www.linkedin.com/in/gsbjackson
Ethan Cohen,Chief Executive Officer,Turning Technologies,Chief Executive Officer,https://www.linkedin.com/in/ethancohen
Brian Helwig,,,Chief Financial Officer at Netwrix Corporation,https://www.linkedin.com/in/brianhelwig
Andrew Benson,Chief Executive Officer,Benson Media,"Chief Executive Officer at Benson Media, LLC",https://www.linkedin.com/in/abenson
Spencer Wood,,,Chief Operations Officer/Deputy State CIO at State of Ohio,https://www.linkedin.com/in/spencwood
Nate Latessa,,,"Chief Operating Officer at Heureka Software, LLC",https://www.linkedin.com/in/latessa
Michelle Reese,"VP, Chief Talent Innovator",Columbus Collaboratory,"VP, Chief Talent Innovator at Columbus Collaboratory \xe2\x98\x85 Business Performance Accelerator",https://www.linkedin.com/in/michelledreese
Justin Showers,,,Chief Marketing & CX Officer at improveit 360,https://www.linkedin.com/in/justinshowers
Tom Croyle,Chief Technology Officer for the State of Ohio,Ohio Department of Administrative Services,Chief Technology Officer for the State of Ohio,https://www.linkedin.com/in/tom-croyle-8475103
Jeff Schmidt,,,"Vice President, Chief Cyber Security Innovator at Columbus Collaboratory",https://www.linkedin.com/in/jasjeffschmidt
Sehul Patel,Chief Information Officer,"ViaQuest, Inc.",Chief Information Officer - ViaQuest,https://www.linkedin.com/in/sehul-patel-39b407
"Greg Buskirk, PMP",,,Chief Information Officer at Ohio Facility Construction Commission (OFCC),https://www.linkedin.com/in/greg-buskirk-pmp-1953b92
Craig Finck,,,"CTO/Chief Architect/Technical Lead at Allen, Williams & Hughes Company (AWH)",https://www.linkedin.com/in/craigfinck
Daniel Orr,Chief Operating Officer / Deputy State CIO,"State of Ohio, Department of Administrative Services",Chief Operating Officer / Deputy State CIO at State of Ohio,https://www.linkedin.com/in/daniel-orr-41946b7
Kevin von Keyserling,President and Chief Executive Officer,Certified Security Solutions (CSS),President and Chief Executive Officer at Certified Security Solutions,https://www.linkedin.com/in/csssecurity
Helen Patton,,,Chief Information Security Officer at The Ohio State University,https://www.linkedin.com/in/helenpatton
G.D. Bowling,Chief Connections Officer (C.C.O.) & Executive Assistant to the C.E.O.,"Ovadya Funding Group International, Inc.","Mr. Glen Bowling, Chief Connections Officer (C.C.O.) & Executive Assistant to the C.E.O.",https://www.linkedin.com/in/gdbowling
David W. Morgan,"Vice President, Chief Financial Officer, Treasurer and Secretary","Capfex, Inc.","Chief Financial Officer at Capfex, Inc.",https://www.linkedin.com/in/dwmorgan
Julio Ortiz,Senior Vice President - Chief Data Officer,Huntington National Bank,Senior Vice President - Chief Data Officer,https://www.linkedin.com/in/itleader
David Wible,President & Chief Executive Officer,"Industry Weapon, Inc.",President & Chief Executive Officer,https://www.linkedin.com/in/davidwible
John Opdycke,,,Chief Marketing Officer at Vox Mobile,https://www.linkedin.com/in/john-opdycke-30486144
Ron Kerensky,,,Chief Information Officer at AVI Foodsystems,https://www.linkedin.com/in/ronkerensky
Bob Hitson,,,Chief Sales Officer at True Image Interactive,https://www.linkedin.com/in/bob-hitson-280b46a
John Raden,,,"Chief Executive Officer at Signet Accel, LLC",https://www.linkedin.com/in/john-raden-427a9b
Eric Tinsley,,,Chief Information Officer at DWA Healthcare Communications Group,https://www.linkedin.com/in/erictinsley
Dena Speranza,,,Chief Information Officer at Denison University,https://www.linkedin.com/in/denas
Adam Wallace,,,Chief Product Officer at OnShift,https://www.linkedin.com/in/adam-wallace-a415002
Kevin Johnson,President and Chief Client Advocate,KANO & Associates,Chief Client Advocate - KANO & Associates 614.468.1390,https://www.linkedin.com/in/kevintjohnson
Lance Hill,Chief Executive Officer,Within3,Chief Executive Officer - Within3,https://www.linkedin.com/in/lancehillprofile
Kevin Lowry,Chief Financial Officer,RevLocal,"Chief Financial Officer at RevLocal, Author and Speaker",https://www.linkedin.com/in/kevinlowry
Bill Curry,,,Chief Technology Officer at ProSource Solutions LLC,https://www.linkedin.com/in/bill-curry-09638034
Rick Magni,Chief Information Officer,Ohio Environmental Protection Agency,"Chief Information Officer, Ohio EPA",https://www.linkedin.com/in/rick-magni-2b0a15a6
Srivishnu Pasumarthy,Chief Technology Officer,LogicJunction,"Chief Technology Officer, LogicJunction",https://www.linkedin.com/in/srivishnu-pasumarthy-b546952
Steve Doherty,,,Chief Operating Officer at Big Data Masters,https://www.linkedin.com/in/steve-doherty-87490178
Edward J. Tromczynski,,,"Chief Executive Officer at SpearFysh, Inc.",https://www.linkedin.com/in/edward-j-tromczynski-8611157
Don Pawlowski,,,Chief Technology Officer at University Tees,https://www.linkedin.com/in/dmpawlowski
Michael Carmack,,,Chief Technology Officer at Ohio Department of Education,https://www.linkedin.com/in/michaelcarmack
Jim Aten,,,Executive Vice President - Chief Delivery Officer at Northwoods,https://www.linkedin.com/in/jimaten
Mark Basinger,Chief Technology Officer,"Mediu, LLC",Chief Technology Officer at Mediu,https://www.linkedin.com/in/mark-basinger-8402972
Wesley Krumel,,,Chief Innovation & Transformation Officer at OpisoftCare,https://www.linkedin.com/in/wesleykrumel
"Kathleen Harmon, MS, RN, CENP",,,Chief Nurse Executive at Sphere3,https://www.linkedin.com/in/kathleen-harmon-ms-rn-cenp-508b2226
Julie Bevelander,,,Chief Financial Officer at Coalesce Software Inc,https://www.linkedin.com/in/julie-bevelander-a8b86545
Rob Linger,Vice President / Chief Information Officer,Pierpont Community and Technical College,Vice President and Chief Information Officer for Pierpont,https://www.linkedin.com/in/rob-linger-76402414
Darren Blake,,,"SVP, Chief Technology Officer at The Citizens Bank of Logan",https://www.linkedin.com/in/darren-blake-0631b41
Teresa West,,,"Chief Financial Officer at MicroSolved, Inc.",https://www.linkedin.com/in/teresa-west-a36b9a5
George Walter,Chief Technology Officer,4iQ Solutions,Chief Technology Officer,https://www.linkedin.com/in/george-walter-86a7167
"Aaron Davis, MBA, SPHR",,,Chief Operating Officer at Smart Data Systems,https://www.linkedin.com/in/aaronjamesdavis
John Sydnor,Executive Vice President and Chief Operating Officer,Prosper Insights and Analytics,Digital & Data Analytics Executive | Entrepreneur and Business Renewal Strategist,https://www.linkedin.com/in/johnsydnor
Glenn Cross,Chief Marketing Officer,Paycor,Chief Marketing Officer - Paycor,https://www.linkedin.com/in/glenn-cross-b420035
Jay Essary,,,Chief Information Officer at LIDS Sports Group,https://www.linkedin.com/in/jay-essary-2968b057
Mike Onders,EVP Chief Data Officer and Division CIO Client Insights and Marketing,KeyBank,EVP Chief Data Officer and Division CIO Client Insights and Marketing,https://www.linkedin.com/in/monders
Rich Sheridan,"CEO and Chief Storyteller; Author of Joy, Inc.",Menlo Innovations,"CEO and Chief Storyteller at Menlo Innovations; Author of Joy, Inc.",https://www.linkedin.com/in/menloprez
Philip Brabbs,President & Chief Visionary,Torrent Consulting,Chief Visionary and Co-founding Managing Partner at Torrent Consulting (Salesforce Partner),https://www.linkedin.com/in/philbrabbs
John Wittenberg,,,Chief Information Officer at MTD Products,https://www.linkedin.com/in/john-wittenberg-0b246
Jarrod Siket,,,Chief Marketing Officer at Napatech,https://www.linkedin.com/in/jarrod-siket
Jack Smith,"Chief Information Officer & President - Technology, Federated Services Company",Federated Investors,"Chief Information Officer, Federated Investors",https://www.linkedin.com/in/jacksmith10
Jay Love,Co-Founder & Chief Engagement Officer,Bloomerang,"Bloomerang Co-Founder & Chief Relationship Officer, Tech Entrepreneur, Fundraiser, Keynote Speaker and Blogger",https://www.linkedin.com/in/jaybarclaylove
Rich Belanger,Chief Information Officer,ProQuest,Chief Information Officer,https://www.linkedin.com/in/rbelanger
Lisa Khorey,"Executive Vice President, Chief Client Delivery Officer",Allscripts,Executive Vice President and Chief Client Delivery Officer - Allscripts,https://www.linkedin.com/in/lisa-khorey-5851269
Bill Russell,,,Chief Information Security Officer at Cummins Inc.,https://www.linkedin.com/in/bill-russell-0919833
Gary Williams,Chief Funnel Officer/RVP,Clicktale,Chief Funnel Officer/Sales RVP at Clicktale,https://www.linkedin.com/in/garywilliams4
"miki calero, CISM, PMP",Chief Information Security Officer (CISO),State of Ohio | Public Safety,Chief Information Security Officer (CISO),https://www.linkedin.com/in/mikicalero
Steve Hershberger,,,Chief Executive Officer at SteadyServ Technologies,https://www.linkedin.com/in/sthersh
Adam Berger,,,Chief Technology Officer at UPMC Enterprises,https://www.linkedin.com/in/adamberger1
Jon Pastor,,,Chief Technology Officer at The Rainmaker Group,https://www.linkedin.com/in/jpastor
Jim Berardone,Chief Customer Officer,OnlyBoth Inc.,"chief customer officer, tech entrepreneur, product leader, talent developer",https://www.linkedin.com/in/jimberardone
Jerry Foster,,,"Chief Technology Officer at Plex Systems, Inc.",https://www.linkedin.com/in/foster7
Sam Hoff,Chief Executive Officer,Patti Engineering,Patti Engineering (Chief Executive Officer) and LEID Products (President),https://www.linkedin.com/in/samhoffpattileid
John Kinnamon,,,Chief Operating Officer at AwareAbility Technologies LLC,https://www.linkedin.com/in/johnkinnamon
Brian Disbrow,,,"Chief Technology Officer, Enterprise Applications at Nationwide Insurance",https://www.linkedin.com/in/disbro
Vijay Nachimuthu,Chief Executive Officer,AltaFlux Corporation,Helping people & customers come together with the power of cloud. Chief Enablement Officer | AltaFlux Corporation,https://www.linkedin.com/in/afvijay
Todd Weeks,,,"Group Vice President of Cloud Operations and Chief Security Officer at Plex Systems, Inc.",https://www.linkedin.com/in/tdaweeks
Ben Mahan,Chief Technology Officer,ACES Risk Management Corp (ARMCO),Chief Technology Officer,https://www.linkedin.com/in/benmahan
Tom Krohn,Chief Development Officer,Antidote.me,Chief Development Officer at Antidote,https://www.linkedin.com/in/thomasakrohn
Andy Jones,,,Chief Executive Officer at MCPc,https://www.linkedin.com/in/andyjjones
Valerie Osinski,,,Chief Technology Officer at Project Lead The Way,https://www.linkedin.com/in/valerie-osinski-8a6607
Nathan Good,,,Chief Technology Officer at ShowClix,https://www.linkedin.com/in/nathangood
Fred Hinojos,,,Vice President and Chief Administration Officer at Black Box Network Services,https://www.linkedin.com/in/fred-hinojos-305b152
Brenda Hetrick,Chief Revenue Officer,Matrix Solutions,Chief Revenue Officer @ Matrix Solutions,https://www.linkedin.com/in/brenda-hetrick-7996649
Andy Lebowitz,,,"President, Founder, Chief Executive Officer at Bamboo Innovations, LLC",https://www.linkedin.com/in/andy-lebowitz-5a8a56132
Brian Jeffrey Gross,,,Chief Operating Officer at Pineapple Payments,https://www.linkedin.com/in/brianjeffreygross
Sam Rizk,,,Chief Executive Officer / Founder at International Knowledge League,https://www.linkedin.com/in/sam-rizk-78371816
Robert Mowery,,,Associate Partner and Chief Technology Solutions Architect at IBM,https://www.linkedin.com/in/robertmowery
John Mihalik,Chief Technology Officer,Skyword Inc.,"Chief Technology Officer, Skyword Inc.",https://www.linkedin.com/in/johnmihalik
Melvin Sperry,,,"Vice President & Chief of Staff, North America Customer Organization at SAP Ariba",https://www.linkedin.com/in/melvin-sperry-355b68
Kevin Lewis,Chief Data Solutions Architect,Strategic Intelligence LLC,Chief Data Solutions Architect,https://www.linkedin.com/in/kevin-lewis-40394220
Bill Su,,,"Founder, CEO, Chief Data Scientist at Humanlytics",https://www.linkedin.com/in/datawithbill
Teri Hembree,Chief Company Operations Officer,OnShift,"Chief Company Operations Officer at OnShift, Inc.",https://www.linkedin.com/in/teri-hembree-1a69b89
Karen Leonard,Chief Marketing Officer | Constant Contact Expert,Innovative Global Vision,Chief Marketing Officer | Producer for BizTV Shows | Constant Contact Expert,https://www.linkedin.com/in/kaleonard
John Chmura,,,CTO & Chief Data Scientist at Chmura Economics & Analytics,https://www.linkedin.com/in/jchmura
Leena Madan,,,Chief Operating Officer at geoAMPS,https://www.linkedin.com/in/leena-madan-32589910
Matthew Crowley,Chief Information Officer,Cleveland Airport System,Chief Information Officer at Cleveland Hopkins International Airport,https://www.linkedin.com/in/matthew-crowley-86b8a06
Sebastian Holst,Executive Vice President & Chief Strategy Officer,PreEmptive Solutions,"EVP & Chief Strategy Officer, PreEmptive Solutions",https://www.linkedin.com/in/sebastianholst
Ike Herman,,,Executive Vice President & Chief Product Officer at OEConnection (OEC),https://www.linkedin.com/in/ikeherman
Kerry Kicos,Chief Operating Officer,TekDog Inc.,Chief Operating Officer,https://www.linkedin.com/in/kerrykicos
"Ryan Achterberg, MCSE",,,Chief of Technology at KSM Consulting,https://www.linkedin.com/in/ryanachterberg
Thomas Barretta,Chief Technology Officer,"Open Dealer Exchange, LLC",Chief Technology Officer at Open Dealer Exchange,https://www.linkedin.com/in/tbarretta
Jamie Kurtz,,,"Chief Technology Officer at Diagnotes, Inc.",https://www.linkedin.com/in/jamieakurtz
Ned Kalinovic,,,Chief Technology Officer at Destination Rewards a division of Deluxe Financial Services,https://www.linkedin.com/in/nkalinovic
Karim Metallaoui,Chief Technology Officer,"Lotus Systems, inc","Chief Technology Officer at Lotus System, inc",https://www.linkedin.com/in/karimmetallaoui
Mark Rupnik,,,Chief Executive Officer at BPL Global,https://www.linkedin.com/in/mark-rupnik-4858605
Lars Mahler,,,Chief Science Officer at LegalSifter,https://www.linkedin.com/in/larsmahler
Sree Turlapati,Managing Partner & Chief Architect,VadyasHealth,Chief Technology Strategist,https://www.linkedin.com/in/sreekirant
Scott Kellicker,VP and Chief Architect,Wowza Media Systems,Chief Architect and VP at Wowza Media Systems,https://www.linkedin.com/in/scottkellicker
Seth Stearns,,,Chief Operating Officer at Excel Management Systems,https://www.linkedin.com/in/sethstearns
Tom Skoulis,,,Chief Executive Officer at braXos security software,https://www.linkedin.com/in/tomskoulis
James Bibbo,,,"Chief Solutions Architect at Systemic Solutions Group, LLC",https://www.linkedin.com/in/james-bibbo-47724340
David Brewer,Chief Business Development Officer,Safe Hiring Solutions LLC,"Chief Business Development Officer at Safe Hiring Solutions LLC, Reflynk and Safe Visitor",https://www.linkedin.com/in/brewerdavid
Kevin Marchese,,,Chief Information Officer at Restaurant Equippers Inc,https://www.linkedin.com/in/kevinmarchese
Mark Pruitte,Chief Architect / Manager of Infrastructure Services Delivery,BT Federal,"Chief Architect / Manager of Infrastructure Services Delivery at BT Federal, CCIE # 11845 Emeritus",https://www.linkedin.com/in/markpruitte
Josh Schramm,Chief Technology Officer,Level Seven Group,Chief Technology Officer at Level Seven,https://www.linkedin.com/in/joshschramm
Bob Clarke,Chief Operating Officer,Indiana Office of Technology,Chief Operating Officer at Indiana Office Of Technology,https://www.linkedin.com/in/bob-clarke-3667bb87
Karen Fast,,,"Chief Operating Officer at Sophisticated Systems, Inc.",https://www.linkedin.com/in/karenfast
William Calderone,,,Chief Information Officer at Ohio Department of Youth Services,https://www.linkedin.com/in/william-calderone-48626326
Jim Archbold,,,Chief Operating Officer at True Image Interactive,https://www.linkedin.com/in/jim-archbold-3b82881
Donovan Powers,Chief Information Officer,Ohio Department of Natural Resources,Chief Information Officer - Ohio Department of Natural Resources,https://www.linkedin.com/in/donovan-powers-0a35a86
"Jason Cunningham, PMP",,,"Chief Technology Officer at Healthcare Management Solutions, LLC",https://www.linkedin.com/in/jason-cunningham-pmp-9b78ba8
Amber Driver,,,Chief Financial Officer at GradLeaders,https://www.linkedin.com/in/amber-driver-59765a3
Sean OBrien,,,President and Chief Operating Officer at Axixe,https://www.linkedin.com/in/sean-o-brien-b6858010
Dylan Gale,Chief Technology Officer,Nuvestack,Chief Technology Officer,https://www.linkedin.com/in/dylan-gale-3167748
Ray Copeland,,,Chief Information Officer at Ohio Secretary of State,https://www.linkedin.com/in/ray-copeland-b051436
Brian Hernandez,Deputy Chief Operating Officer,State of Ohio,Deputy Chief Operating Officer at State of Ohio DAS/OIT,https://www.linkedin.com/in/brianhernandezitcolumbusoh1227
Milu Patel,,,Chief Operating Officer at Technocraft Solutions,https://www.linkedin.com/in/milupatel
Tait Sweigart,,,Chief Operating Officer at Braden IT Services,https://www.linkedin.com/in/tsweigart
George Vudrogovic,Chief Revenue Officer,AllPlayers Network,Chief Revenue Officer,https://www.linkedin.com/in/georgevudrogovic
Ibrahim Garba,Chief IT Architect,A B E IT CONSULTING LLC,Chief IT Architect at A B E IT CONSULTING LLC / President TITAN DATA INTEGRATION Solution,https://www.linkedin.com/in/ibrahim-garba-536035a
Keith Albert,"Chief, IT PMO",Ohio Dept of Public Safety,Chief of IT PMO at Ohio Dept of Public Safety,https://www.linkedin.com/in/keith-albert-a0a65a
Dale Caffall,,,Chief Delivery Officer at Ventech Solutions,https://www.linkedin.com/in/dale-caffall-83299420
Joseph Ferguson,Chief Technology Officer,zipit LLC,Senior Systems Consultant OSU CCC; Chief Technology Officer at zipit LLC,https://www.linkedin.com/in/josephdoverbellferguson
"Izzy M.S, CISSP, GPEN, C|EH",Operations Chief - Cyber Intel Analyst,"United States Marine Forces Reserve, U.S. European Command","Gunnery Sergeant, Cyber Data Chief - SNCOIC IMA Detachment at US TRANSCOM, Joint Communication Support Element",https://www.linkedin.com/in/israelarroyo
Chris Asman,Chief Operating Officer,SafeParc,"Founder & Chief Executive Officer, InHand Solutions",https://www.linkedin.com/in/chris-asman-688667107
Matt Sheuerman,,,"Chief Technology Officer at Wilson-Bennett Technology, Inc.",https://www.linkedin.com/in/matt-sheuerman-3a450542
Jason Haskins,,,"Associate Director, Relationship Management in the Office of the Chief Information Officer at The Ohio State University",https://www.linkedin.com/in/jason-haskins-26670311
Ed Mistak,Chief Technology Officer,EasyIT a division of Capital City Consulting,Chief Technology Officer at EasyIT,https://www.linkedin.com/in/ed-mistak-53a48010
Scott Wickham,,,Chief Software Architect at iSite LLC,https://www.linkedin.com/in/scottwickham
Jeffrey Becker,,,Chief Maker at edgeThingZ,https://www.linkedin.com/in/jeffrey-becker-a2197356
Jeff Butler,Chief Analytics Officer,"Cover Story Media, Inc","Chief Analytics Officer at Cover Story Media, Inc.",https://www.linkedin.com/in/jeffmbutlerj
Andrew Heaton,,,Chief Designer at Revinity UX,https://www.linkedin.com/in/andrewheaton
Matt Jakiel,Chief Operating Officer,Sputnik Software,Chief Operating Officer at Sputnik Ltd,https://www.linkedin.com/in/matt-jakiel-82073b47
Patrick Boggs,Founder / Chief Software Architect,"Boggsoft, Inc.","Founder of Boggsoft, Inc. / Chief Software Architect",https://www.linkedin.com/in/patrick-boggs-12313074
"Micheal Carroll, PMP, HDI-SCD, ITIL Certified","Vice President of Information Technology, Chief Information Officer",Central Ohio Transit Authority (COTA),"Vice President, Chief Information Officer at Central Ohio Transit Authority (COTA)",https://www.linkedin.com/in/michealcarroll
Will Burrus,"Chief Strategy Officer, Associate Partner",LOUD Capital,Visionary Technology Entrepreneur and Executive,https://www.linkedin.com/in/willburrus
Raymond Bohac,Chief Information Officer,ContactUS Communications,Visionary Entrepreneur and Investor,https://www.linkedin.com/in/raybohac
Bill Condo,Consulting Chief Information Officer,Columbus Idea Foundry,Founder at HustleWorks,https://www.linkedin.com/in/billcondo
Geoffrey Bibo,President & Chief Operating Officer,"Exacter, Inc.","President & COO, Exacter, Inc.",https://www.linkedin.com/in/geoffreybibo
Michelle Nabozny,Chief Information Officer,"3 Bee Data Systems, Inc.",Business Software Development and Integrations Specialist,https://www.linkedin.com/in/amflux
Jeff Hutton,Chief Growth Officer,Allavanti Group,Connecting Great Companies to Great People,https://www.linkedin.com/in/jeffreyhutton
Rich Diers,Chief Technology Officer,Northwoods,CTO/EVP at Northwoods,https://www.linkedin.com/in/richiediers
Toby Miller,Chief Technology Advisor,Latherology,Technology Director at Bonfire Red,https://www.linkedin.com/in/tobius
Angela N. Lopez,Chief Disruptor | Change Agent | Software Fanatic,Software Fanatic Consulting LTD,"Delivering Results Through Lean Strategies, Organizational Change, Program Management, and Training.",https://www.linkedin.com/in/angelalopezpmp
Jared R. Price,Chief Technology Officer,"American Municipal Power, Inc.",CTO at American Municipal Power,https://www.linkedin.com/in/jaredrprice
Brad Reynolds,Chief Executive Officer,Securable.io,CEO - Passionate about Data Driven Cybersecurity Education,https://www.linkedin.com/in/bradreynolds3
Mark Holtman,Chief Instructor,Buckeye Tang Soo Do,Software Craftsman @ Pillar Technology,https://www.linkedin.com/in/mholtman
Ron Lee,Chief Technology Officer,"Pacejet Logistics, Inc.","CTO, CMO, and Co-Founder",https://www.linkedin.com/in/leeronald
Allison Hutton,Chief Talent Officer,Allavanti Group,Senior IT Recruiter,https://www.linkedin.com/in/allisonitrecruiter
Lisa Peterson,Chief Operating Officer,"Ecommerce, LLC",GM - IX Web Hosting at Endurance International Group/COO Ecommerce LLC,https://www.linkedin.com/in/lisapeterson3
Kathleen Starkoff,"Founder, President and Chief Executive Officer","Orange Star Consulting, LLC","Information Technology Expert, President and CEO",https://www.linkedin.com/in/kathleen-starkoff-7a18841
Kim Papenfuse,IT Branch Chief,Defense Finance & Accounting,PMO | Program Management | Project Management | Cross-Functional Leadership | Organizational Change Management | SDLC,https://www.linkedin.com/in/kimpapenfuse
Josh Walsh,Chief Executive Officer,The Refinery,Co-CEO at The Refinery. The guy you call when something is hard to use.,https://www.linkedin.com/in/josh-walsh-1041818
Matt Schlabig,Chief Information Officer,Worthington Industries,Vice President and CIO at Worthington Industries,https://www.linkedin.com/in/matt-schlabig-6892266
MarKel Snyder,Chief Sales Officer/Vice President of Strategic Partnerships,"Aviso Retention, LLC.",Visionary Information Technology Executive and Entrepreneur,https://www.linkedin.com/in/markelsnyder
Dave Culbertson,Chief Light Bul,LightBulb Interactive,Bright ideas for Internet Success! SEO | SEM/PPC | Display Advertising | Web Analytics | Social Media,https://www.linkedin.com/in/davidsculbertson
Jim McClure,CEO/Chief Architect,"JMSE, Inc.",Architect/Consultant/Agile Mentor and Evangelist,https://www.linkedin.com/in/jim-mcclure-8ab15
Steven Ellis,Chief Technology Officer,improveit 360,Technology and Business Leader,https://www.linkedin.com/in/stevenlellis
"Albert E. Whale, CEH CHS CISA CISSP",President / Chief Security Officer,"IT Security, Inc.","Author, SDVOSB, HUBZone, Cyber Security, Application Security, Penetration Testing, Audits & Assessments.",https://www.linkedin.com/in/albertwhale
